cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,30,mean,CS,ROPE,0.2,False,True,True,LT,-17.847,0.217,-0.398,0.228
0.3,30,mean,CS,ROPE,0.2,False,True,True,ID,-16.057,0.206,-0.382,0.228
0.3,30,mean,CS,ROPE,0.2,False,True,True,LS,-17.448,0.214,-0.373,0.226
