cl,percent,sample_loc,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,30,closest,CS,Gauss-Newton,0.01,False,True,True,LT,-22.416,0.25,-1.021,0.278
0.3,30,closest,CS,Gauss-Newton,0.01,False,True,True,ID,-22.788,0.248,-0.896,0.276
0.3,30,closest,CS,Gauss-Newton,0.01,False,True,True,LS,-22.387,0.25,-1.053,0.28
