cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
<<<<<<< HEAD
0.3,20,mean,observed,FSeq,ROPE,0.07,True,True,True,LT,-3.168,0.18,-0.902,0.262
0.3,20,mean,observed,FSeq,ROPE,0.07,True,True,True,ID,-5.666,0.228,-1.279,0.291
0.3,20,mean,observed,FSeq,ROPE,0.07,True,True,True,LS,-2.129,0.158,-0.798,0.252
=======
0.3,20,mean,Observed,FSeq,ROPE,0.07,True,True,True,LT,-3.168,0.18,-0.902,0.262
0.3,20,mean,Observed,FSeq,ROPE,0.07,True,True,True,ID,-5.666,0.228,-1.279,0.291
0.3,20,mean,Observed,FSeq,ROPE,0.07,True,True,True,LS,-2.129,0.158,-0.798,0.252
>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298
