cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,10,CS,ROPE,0.01,False,True,False,LT,-1.66,0.081,-0.256,0.214
0.3,10,CS,ROPE,0.01,False,True,False,ID,-2.91,0.101,-0.354,0.224
0.3,10,CS,ROPE,0.01,False,True,False,LS,-1.478,0.081,-0.274,0.217
