cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,10,CS,ROPE,0.07,True,False,True,LT,-3.24,0.178,-0.919,0.236
0.3,10,CS,ROPE,0.07,True,False,True,ID,-5.766,0.23,-0.195,0.187
0.3,10,CS,ROPE,0.07,True,False,True,LS,-2.454,0.16,-0.205,0.184
