cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
<<<<<<< HEAD
0.4,30,closest,observed,FSlin,ROPE,0.2,True,False,True,LT,-18.856,0.22,-0.428,0.237
0.4,30,closest,observed,FSlin,ROPE,0.2,True,False,True,ID,-17.496,0.216,-0.473,0.24
0.4,30,closest,observed,FSlin,ROPE,0.2,True,False,True,LS,-18.222,0.216,-0.381,0.234
=======
0.4,30,closest,Observed,FSlin,ROPE,0.2,True,False,True,LT,-18.856,0.22,-0.428,0.237
0.4,30,closest,Observed,FSlin,ROPE,0.2,True,False,True,ID,-17.496,0.216,-0.473,0.24
0.4,30,closest,Observed,FSlin,ROPE,0.2,True,False,True,LS,-18.222,0.216,-0.381,0.234
>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298
