,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LT,-11.556,0.179,0.613,0.119
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,ID,-10.93,0.17,0.645,0.112
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LS,-11.243,0.177,0.58,0.124
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LT,-11.556,0.179,0.613,0.119
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,ID,-10.93,0.17,0.645,0.112
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LS,-11.243,0.177,0.58,0.124
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LT,-11.556,0.179,0.613,0.119
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,ID,-10.93,0.17,0.645,0.112
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LS,-11.243,0.177,0.58,0.124
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LT,-11.556,0.179,0.613,0.119
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,ID,-10.93,0.17,0.645,0.112
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LS,-11.243,0.177,0.58,0.124
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LT,-11.578,0.181,0.454,0.14
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.54,0.176,0.472,0.14
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LS,-11.346,0.18,0.414,0.146
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LT,-15.428,0.204,0.792,0.083
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,ID,-13.279,0.189,0.929,0.046
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LS,-15.312,0.204,0.795,0.082
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LT,-15.428,0.204,0.792,0.083
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,ID,-13.279,0.189,0.929,0.046
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LS,-15.312,0.204,0.795,0.082
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LT,-15.428,0.204,0.792,0.083
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,ID,-13.279,0.189,0.929,0.046
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LS,-15.312,0.204,0.795,0.082
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LT,-15.428,0.204,0.792,0.083
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,ID,-13.279,0.189,0.929,0.046
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LS,-15.312,0.204,0.795,0.082
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LT,-14.928,0.2,0.836,0.076
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,ID,-12.724,0.185,0.955,0.039
