,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LS,-15.041,0.2,0.828,0.077
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LT,-14.928,0.2,0.836,0.076
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,ID,-12.724,0.185,0.955,0.039
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LS,-15.041,0.2,0.828,0.077
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LT,-14.928,0.2,0.836,0.076
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,ID,-12.724,0.185,0.955,0.039
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LS,-15.041,0.2,0.828,0.077
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LT,-14.928,0.2,0.836,0.076
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,ID,-12.724,0.185,0.955,0.039
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LS,-15.041,0.2,0.828,0.077
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LT,-17.85,0.219,0.546,0.122
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,ID,-16.12,0.21,0.675,0.11
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LS,-17.902,0.218,0.542,0.122
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LT,-17.85,0.219,0.546,0.122
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,ID,-16.12,0.21,0.675,0.11
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,True,False,LS,-17.902,0.218,0.542,0.122
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LT,-17.85,0.219,0.546,0.122
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,ID,-16.12,0.21,0.675,0.11
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,True,LS,-17.902,0.218,0.542,0.122
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LT,-17.85,0.219,0.546,0.122
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,ID,-16.12,0.21,0.675,0.11
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,True,False,False,LS,-17.902,0.218,0.542,0.122
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LT,-16.298,0.207,0.667,0.106
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,ID,-14.776,0.202,0.802,0.087
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,True,LS,-16.328,0.206,0.663,0.106
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LT,-16.298,0.207,0.667,0.106
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,ID,-14.776,0.202,0.802,0.087
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,True,False,LS,-16.328,0.206,0.663,0.106
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LT,-16.298,0.207,0.667,0.106
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,ID,-14.776,0.202,0.802,0.087
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,True,LS,-16.328,0.206,0.663,0.106
0,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LT,-16.298,0.207,0.667,0.106
1,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,ID,-14.776,0.202,0.802,0.087
2,0.2,10,mean,observed,FSeq,Gauss-Newton,0.2,False,False,False,LS,-16.328,0.206,0.663,0.106
0,0.2,10,mean,observed,FSeq,ROPE,0.01,True,True,False,LT,-1.59,0.085,-0.07,0.202
1,0.2,10,mean,observed,FSeq,ROPE,0.01,True,True,False,ID,-2.423,0.098,-0.144,0.206
2,0.2,10,mean,observed,FSeq,ROPE,0.01,True,True,False,LS,-1.625,0.086,-0.112,0.204
0,0.2,10,mean,observed,FSeq,ROPE,0.01,True,False,False,LT,-1.4,0.079,-0.312,0.225
1,0.2,10,mean,observed,FSeq,ROPE,0.01,True,False,False,ID,-2.582,0.096,-0.445,0.229
2,0.2,10,mean,observed,FSeq,ROPE,0.01,True,False,False,LS,-1.414,0.079,-0.348,0.226
0,0.2,10,mean,observed,FSeq,ROPE,0.01,False,True,False,LT,-0.192,0.059,-0.16,0.206
1,0.2,10,mean,observed,FSeq,ROPE,0.01,False,True,False,ID,-1.846,0.088,-0.196,0.216
2,0.2,10,mean,observed,FSeq,ROPE,0.01,False,True,False,LS,-0.246,0.062,-0.196,0.21
0,0.2,10,mean,observed,FSeq,ROPE,0.01,False,False,False,LT,-0.826,0.068,-0.232,0.222
1,0.2,10,mean,observed,FSeq,ROPE,0.01,False,False,False,ID,-1.513,0.081,-0.312,0.226
2,0.2,10,mean,observed,FSeq,ROPE,0.01,False,False,False,LS,-0.833,0.068,-0.26,0.224
0,0.2,10,mean,observed,FSeq,ROPE,0.07,True,True,False,LT,-0.562,0.062,-0.096,0.209
1,0.2,10,mean,observed,FSeq,ROPE,0.07,True,True,False,ID,-1.998,0.088,-0.214,0.212
2,0.2,10,mean,observed,FSeq,ROPE,0.07,True,True,False,LS,-0.531,0.062,-0.13,0.211
0,0.2,10,mean,observed,FSeq,ROPE,0.07,True,False,False,LT,-0.566,0.066,-0.14,0.201
1,0.2,10,mean,observed,FSeq,ROPE,0.07,True,False,False,ID,-1.485,0.078,-0.208,0.205
2,0.2,10,mean,observed,FSeq,ROPE,0.07,True,False,False,LS,-0.583,0.066,-0.169,0.204
0,0.2,10,mean,observed,FSeq,ROPE,0.07,False,True,False,LT,-2.547,0.101,-0.368,0.228
1,0.2,10,mean,observed,FSeq,ROPE,0.07,False,True,False,ID,-3.811,0.114,-0.434,0.234
2,0.2,10,mean,observed,FSeq,ROPE,0.07,False,True,False,LS,-2.454,0.1,-0.389,0.229
0,0.2,10,mean,observed,FSeq,ROPE,0.07,False,False,False,LT,-0.588,0.065,-0.068,0.2
1,0.2,10,mean,observed,FSeq,ROPE,0.07,False,False,False,ID,-1.26,0.076,-0.041,0.202
2,0.2,10,mean,observed,FSeq,ROPE,0.07,False,False,False,LS,-0.518,0.063,-0.088,0.2
0,0.2,10,mean,observed,FSeq,ROPE,0.2,True,True,False,LT,-1.242,0.078,-0.22,0.22
1,0.2,10,mean,observed,FSeq,ROPE,0.2,True,True,False,ID,-2.262,0.091,-0.306,0.22
2,0.2,10,mean,observed,FSeq,ROPE,0.2,True,True,False,LS,-1.176,0.076,-0.247,0.22
0,0.2,10,mean,observed,FSeq,ROPE,0.2,True,False,False,LT,-0.521,0.063,-0.142,0.213
1,0.2,10,mean,observed,FSeq,ROPE,0.2,True,False,False,ID,-2.011,0.09,-0.24,0.216
2,0.2,10,mean,observed,FSeq,ROPE,0.2,True,False,False,LS,-0.54,0.064,-0.157,0.216
0,0.2,10,mean,observed,FSeq,ROPE,0.2,False,True,False,LT,-0.892,0.071,-0.256,0.22
1,0.2,10,mean,observed,FSeq,ROPE,0.2,False,True,False,ID,-2.779,0.095,-0.409,0.224
2,0.2,10,mean,observed,FSeq,ROPE,0.2,False,True,False,LS,-0.914,0.072,-0.322,0.222
0,0.2,10,mean,observed,FSeq,ROPE,0.2,False,False,False,LT,-1.154,0.077,-0.214,0.213
1,0.2,10,mean,observed,FSeq,ROPE,0.2,False,False,False,ID,-2.157,0.092,-0.28,0.222
2,0.2,10,mean,observed,FSeq,ROPE,0.2,False,False,False,LS,-1.104,0.078,-0.236,0.214
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,True,LT,-21.476,0.244,-0.97,0.272
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,True,ID,-22.216,0.246,-0.916,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,True,LS,-21.654,0.246,-1.047,0.276
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,False,LT,-21.476,0.244,-0.97,0.272
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,False,ID,-22.216,0.246,-0.916,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,True,False,LS,-21.654,0.246,-1.047,0.276
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,True,LT,-21.476,0.244,-0.97,0.272
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,True,ID,-22.216,0.246,-0.916,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,True,LS,-21.654,0.246,-1.047,0.276
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,False,LT,-21.476,0.244,-0.97,0.272
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,False,ID,-22.216,0.246,-0.916,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,True,False,False,LS,-21.654,0.246,-1.047,0.276
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,True,LT,-22.011,0.247,-0.991,0.274
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,True,ID,-22.249,0.246,-0.906,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,True,LS,-22.103,0.248,-1.042,0.28
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,False,LT,-22.011,0.247,-0.991,0.274
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,False,ID,-22.249,0.246,-0.906,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,True,False,LS,-22.103,0.248,-1.042,0.28
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,True,LT,-22.011,0.247,-0.991,0.274
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,True,ID,-22.249,0.246,-0.906,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,True,LS,-22.103,0.248,-1.042,0.28
0,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,False,LT,-22.011,0.247,-0.991,0.274
1,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,False,ID,-22.249,0.246,-0.906,0.276
2,0.2,10,mean,observed,CS,Gauss-Newton,0.01,False,False,False,LS,-22.103,0.248,-1.042,0.28
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,True,LT,-17.045,0.212,0.339,0.156
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,True,ID,-14.62,0.199,0.414,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,True,LS,-16.95,0.212,0.322,0.162
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,False,LT,-17.045,0.212,0.339,0.156
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,False,ID,-14.62,0.199,0.414,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,True,False,LS,-16.95,0.212,0.322,0.162
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,True,LT,-17.045,0.212,0.339,0.156
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,True,ID,-14.62,0.199,0.414,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,True,LS,-16.95,0.212,0.322,0.162
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,False,LT,-17.045,0.212,0.339,0.156
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,False,ID,-14.62,0.199,0.414,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,True,False,False,LS,-16.95,0.212,0.322,0.162
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,True,LT,-17.8,0.216,0.28,0.168
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,True,ID,-15.476,0.204,0.322,0.161
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,True,LS,-17.844,0.216,0.24,0.172
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,False,LT,-17.8,0.216,0.28,0.168
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,False,ID,-15.476,0.204,0.322,0.161
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,True,False,LS,-17.844,0.216,0.24,0.172
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,True,LT,-17.8,0.216,0.28,0.168
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,True,ID,-15.476,0.204,0.322,0.161
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,True,LS,-17.844,0.216,0.24,0.172
0,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,False,LT,-17.8,0.216,0.28,0.168
1,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,False,ID,-15.476,0.204,0.322,0.161
2,0.2,10,mean,observed,CS,Gauss-Newton,0.07,False,False,False,LS,-17.844,0.216,0.24,0.172
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,True,LT,-18.493,0.218,0.315,0.155
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,True,ID,-16.979,0.214,0.412,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,True,LS,-18.608,0.219,0.29,0.158
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,False,LT,-18.493,0.218,0.315,0.155
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,False,ID,-16.979,0.214,0.412,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,True,False,LS,-18.608,0.219,0.29,0.158
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,True,LT,-18.493,0.218,0.315,0.155
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,True,ID,-16.979,0.214,0.412,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,True,LS,-18.608,0.219,0.29,0.158
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,False,LT,-18.493,0.218,0.315,0.155
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,False,ID,-16.979,0.214,0.412,0.148
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,True,False,False,LS,-18.608,0.219,0.29,0.158
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,True,LT,-17.951,0.214,0.366,0.152
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,True,ID,-16.243,0.206,0.467,0.142
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,True,LS,-17.872,0.216,0.349,0.154
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,False,LT,-17.951,0.214,0.366,0.152
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,False,ID,-16.243,0.206,0.467,0.142
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,True,False,LS,-17.872,0.216,0.349,0.154
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,True,LT,-17.951,0.214,0.366,0.152
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,True,ID,-16.243,0.206,0.467,0.142
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,True,LS,-17.872,0.216,0.349,0.154
0,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,False,LT,-17.951,0.214,0.366,0.152
1,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,False,ID,-16.243,0.206,0.467,0.142
2,0.2,10,mean,observed,CS,Gauss-Newton,0.2,False,False,False,LS,-17.872,0.216,0.349,0.154
0,0.2,10,mean,observed,CS,ROPE,0.01,True,True,True,LT,-13.956,0.194,-0.262,0.215
1,0.2,10,mean,observed,CS,ROPE,0.01,True,True,True,ID,-11.458,0.18,-0.23,0.209
2,0.2,10,mean,observed,CS,ROPE,0.01,True,True,True,LS,-13.299,0.19,-0.218,0.211
0,0.2,10,mean,observed,CS,ROPE,0.01,True,True,False,LT,-0.636,0.064,-0.104,0.202
1,0.2,10,mean,observed,CS,ROPE,0.01,True,True,False,ID,-1.776,0.084,-0.145,0.207
2,0.2,10,mean,observed,CS,ROPE,0.01,True,True,False,LS,-0.675,0.067,-0.145,0.204
0,0.2,10,mean,observed,CS,ROPE,0.01,True,False,True,LT,-17.235,0.218,-0.43,0.226
1,0.2,10,mean,observed,CS,ROPE,0.01,True,False,True,ID,-14.34,0.202,-0.326,0.22
2,0.2,10,mean,observed,CS,ROPE,0.01,True,False,True,LS,-16.554,0.216,-0.382,0.222
0,0.2,10,mean,observed,CS,ROPE,0.01,True,False,False,LT,-0.338,0.06,0.03,0.194
1,0.2,10,mean,observed,CS,ROPE,0.01,True,False,False,ID,-1.503,0.08,-0.056,0.198
2,0.2,10,mean,observed,CS,ROPE,0.01,True,False,False,LS,-0.236,0.058,0.028,0.194
0,0.2,10,mean,observed,CS,ROPE,0.01,False,True,True,LT,-14.915,0.199,-0.343,0.232
1,0.2,10,mean,observed,CS,ROPE,0.01,False,True,True,ID,-11.205,0.18,-0.212,0.224
2,0.2,10,mean,observed,CS,ROPE,0.01,False,True,True,LS,-14.225,0.193,-0.316,0.228
0,0.2,10,mean,observed,CS,ROPE,0.01,False,True,False,LT,-0.619,0.064,-0.113,0.204
1,0.2,10,mean,observed,CS,ROPE,0.01,False,True,False,ID,-2.555,0.094,-0.224,0.214
2,0.2,10,mean,observed,CS,ROPE,0.01,False,True,False,LS,-0.61,0.065,-0.134,0.206
0,0.2,10,mean,observed,CS,ROPE,0.01,False,False,True,LT,-15.33,0.205,-0.338,0.224
1,0.2,10,mean,observed,CS,ROPE,0.01,False,False,True,ID,-12.758,0.192,-0.264,0.22
2,0.2,10,mean,observed,CS,ROPE,0.01,False,False,True,LS,-14.826,0.202,-0.284,0.22
0,0.2,10,mean,observed,CS,ROPE,0.01,False,False,False,LT,-0.786,0.067,-0.054,0.205
1,0.2,10,mean,observed,CS,ROPE,0.01,False,False,False,ID,-2.132,0.088,-0.19,0.203
2,0.2,10,mean,observed,CS,ROPE,0.01,False,False,False,LS,-0.648,0.065,-0.059,0.207
0,0.2,10,mean,observed,CS,ROPE,0.07,True,True,True,LT,-16.022,0.208,-0.114,0.207
1,0.2,10,mean,observed,CS,ROPE,0.07,True,True,True,ID,-12.336,0.186,-0.13,0.204
2,0.2,10,mean,observed,CS,ROPE,0.07,True,True,True,LS,-15.619,0.206,-0.08,0.204
0,0.2,10,mean,observed,CS,ROPE,0.07,True,True,False,LT,-1.176,0.074,0.016,0.201
1,0.2,10,mean,observed,CS,ROPE,0.07,True,True,False,ID,-2.218,0.091,-0.126,0.202
2,0.2,10,mean,observed,CS,ROPE,0.07,True,True,False,LS,-1.147,0.073,-0.005,0.2
0,0.2,10,mean,observed,CS,ROPE,0.07,True,False,True,LT,-16.498,0.212,-0.48,0.238
1,0.2,10,mean,observed,CS,ROPE,0.07,True,False,True,ID,-13.6,0.195,-0.382,0.232
2,0.2,10,mean,observed,CS,ROPE,0.07,True,False,True,LS,-15.982,0.208,-0.44,0.234
0,0.2,10,mean,observed,CS,ROPE,0.07,True,False,False,LT,-0.453,0.058,-0.038,0.192
1,0.2,10,mean,observed,CS,ROPE,0.07,True,False,False,ID,-1.424,0.078,-0.09,0.199
2,0.2,10,mean,observed,CS,ROPE,0.07,True,False,False,LS,-0.528,0.058,-0.064,0.194
0,0.2,10,mean,observed,CS,ROPE,0.07,False,True,True,LT,-13.976,0.196,-0.362,0.226
1,0.2,10,mean,observed,CS,ROPE,0.07,False,True,True,ID,-11.87,0.183,-0.26,0.217
2,0.2,10,mean,observed,CS,ROPE,0.07,False,True,True,LS,-13.376,0.191,-0.304,0.223
0,0.2,10,mean,observed,CS,ROPE,0.07,False,True,False,LT,-2.038,0.086,-0.108,0.208
1,0.2,10,mean,observed,CS,ROPE,0.07,False,True,False,ID,-2.578,0.098,-0.131,0.215
2,0.2,10,mean,observed,CS,ROPE,0.07,False,True,False,LS,-2.024,0.085,-0.135,0.211
0,0.2,10,mean,observed,CS,ROPE,0.07,False,False,True,LT,-16.678,0.213,-0.419,0.226
1,0.2,10,mean,observed,CS,ROPE,0.07,False,False,True,ID,-15.13,0.204,-0.238,0.217
2,0.2,10,mean,observed,CS,ROPE,0.07,False,False,True,LS,-15.904,0.208,-0.384,0.221
0,0.2,10,mean,observed,CS,ROPE,0.07,False,False,False,LT,-1.483,0.082,-0.25,0.214
1,0.2,10,mean,observed,CS,ROPE,0.07,False,False,False,ID,-2.54,0.095,-0.264,0.22
2,0.2,10,mean,observed,CS,ROPE,0.07,False,False,False,LS,-1.517,0.083,-0.27,0.216
0,0.2,10,mean,observed,CS,ROPE,0.2,True,True,True,LT,-14.754,0.203,-0.23,0.212
1,0.2,10,mean,observed,CS,ROPE,0.2,True,True,True,ID,-14.497,0.203,-0.176,0.208
2,0.2,10,mean,observed,CS,ROPE,0.2,True,True,True,LS,-14.254,0.2,-0.184,0.208
0,0.2,10,mean,observed,CS,ROPE,0.2,True,True,False,LT,-0.47,0.061,-0.17,0.208
1,0.2,10,mean,observed,CS,ROPE,0.2,True,True,False,ID,-1.326,0.076,-0.241,0.212
2,0.2,10,mean,observed,CS,ROPE,0.2,True,True,False,LS,-0.558,0.064,-0.199,0.212
0,0.2,10,mean,observed,CS,ROPE,0.2,True,False,True,LT,-14.559,0.205,-0.328,0.224
1,0.2,10,mean,observed,CS,ROPE,0.2,True,False,True,ID,-12.496,0.188,-0.248,0.219
2,0.2,10,mean,observed,CS,ROPE,0.2,True,False,True,LS,-13.826,0.2,-0.29,0.222
0,0.2,10,mean,observed,CS,ROPE,0.2,True,False,False,LT,-1.066,0.072,-0.184,0.214
1,0.2,10,mean,observed,CS,ROPE,0.2,True,False,False,ID,-2.584,0.094,-0.286,0.22
2,0.2,10,mean,observed,CS,ROPE,0.2,True,False,False,LS,-1.076,0.072,-0.214,0.215
0,0.2,10,mean,observed,CS,ROPE,0.2,False,True,True,LT,-15.382,0.198,-0.413,0.229
1,0.2,10,mean,observed,CS,ROPE,0.2,False,True,True,ID,-12.476,0.183,-0.287,0.218
2,0.2,10,mean,observed,CS,ROPE,0.2,False,True,True,LS,-14.438,0.192,-0.363,0.226
0,0.2,10,mean,observed,CS,ROPE,0.2,False,True,False,LT,-1.674,0.081,-0.331,0.229
1,0.2,10,mean,observed,CS,ROPE,0.2,False,True,False,ID,-2.917,0.103,-0.471,0.232
2,0.2,10,mean,observed,CS,ROPE,0.2,False,True,False,LS,-1.612,0.08,-0.356,0.232
0,0.2,10,mean,observed,CS,ROPE,0.2,False,False,True,LT,-16.668,0.208,-0.319,0.224
1,0.2,10,mean,observed,CS,ROPE,0.2,False,False,True,ID,-14.166,0.196,-0.27,0.22
