cl,percent,sample_loc,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,10,closest,FSlin,ROPE,0.07,True,False,False,LT,-0.97,0.072,-0.132,0.206
0.3,10,closest,FSlin,ROPE,0.07,True,False,False,ID,-2.987,0.104,-0.248,0.216
0.3,10,closest,FSlin,ROPE,0.07,True,False,False,LS,-0.984,0.072,-0.169,0.208
