cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,30,mean,FSeq,Gauss-Newton,0.2,False,False,False,LT,-6.722,0.243,-1.57,0.3
0.2,30,mean,FSeq,Gauss-Newton,0.2,False,False,False,ID,-8.993,0.274,-1.949,0.328
0.2,30,mean,FSeq,Gauss-Newton,0.2,False,False,False,LS,-6.674,0.239,-1.604,0.302
