cl,percent,sample_loc,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,10,closest,FSeq,Gauss-Newton,0.07,True,True,False,LT,-15.896,0.206,0.62,0.115
0.2,10,closest,FSeq,Gauss-Newton,0.07,True,True,False,ID,-14.065,0.196,0.724,0.105
0.2,10,closest,FSeq,Gauss-Newton,0.07,True,True,False,LS,-15.704,0.203,0.618,0.115
