cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,30,mean,log-defined,FSeq,ROPE,0.2,True,False,False,LT,-0.688,0.066,-0.148,0.218
0.2,30,mean,log-defined,FSeq,ROPE,0.2,True,False,False,ID,-1.908,0.084,-0.267,0.218
0.2,30,mean,log-defined,FSeq,ROPE,0.2,True,False,False,LS,-0.646,0.066,-0.174,0.22
