cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
<<<<<<< HEAD
0.3,20,closest,observed,CS,Gauss-Newton,0.2,True,False,True,LT,-9.185,0.166,-1.054,0.274
0.3,20,closest,observed,CS,Gauss-Newton,0.2,True,False,True,ID,-10.045,0.168,-1.116,0.276
0.3,20,closest,observed,CS,Gauss-Newton,0.2,True,False,True,LS,-9.092,0.167,-1.084,0.276
=======
0.3,20,closest,Observed,CS,Gauss-Newton,0.2,True,False,True,LT,-18.603,0.217,0.312,0.156
0.3,20,closest,Observed,CS,Gauss-Newton,0.2,True,False,True,ID,-17.23,0.213,0.389,0.155
0.3,20,closest,Observed,CS,Gauss-Newton,0.2,True,False,True,LS,-18.594,0.218,0.294,0.158
>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298
