cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,20,closest,FSlin,ROPE,0.2,True,True,False,LT,-0.078,0.056,-0.146,0.206
0.3,20,closest,FSlin,ROPE,0.2,True,True,False,ID,-1.484,0.081,-0.215,0.217
0.3,20,closest,FSlin,ROPE,0.2,True,True,False,LS,-0.19,0.058,-0.182,0.209
