cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
<<<<<<< HEAD
0.4,10,closest,observed,CS,ROPE,0.07,True,True,False,LT,-5.017,0.214,0.243,0.152
0.4,10,closest,observed,CS,ROPE,0.07,True,True,False,ID,-8.976,0.272,0.778,0.085
0.4,10,closest,observed,CS,ROPE,0.07,True,True,False,LS,-6.454,0.238,0.535,0.118
=======
0.4,10,closest,Observed,CS,ROPE,0.07,True,True,False,LT,-5.017,0.214,0.243,0.152
0.4,10,closest,Observed,CS,ROPE,0.07,True,True,False,ID,-8.976,0.272,0.778,0.085
0.4,10,closest,Observed,CS,ROPE,0.07,True,True,False,LS,-6.454,0.238,0.535,0.118
>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298
