cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,10,FSlin,ROPE,0.2,True,False,True,LT,-3.168,0.178,-0.881,0.237
0.3,10,FSlin,ROPE,0.2,True,False,True,ID,-6.199,0.234,-0.316,0.196
0.3,10,FSlin,ROPE,0.2,True,False,True,LS,-2.315,0.159,-0.156,0.184
