cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,10,mean,FSeq,ROPE,0.2,True,True,True,LT,-16.678,0.215,-0.37,0.222
0.2,10,mean,FSeq,ROPE,0.2,True,True,True,ID,-14.368,0.202,-0.37,0.224
0.2,10,mean,FSeq,ROPE,0.2,True,True,True,LS,-15.844,0.21,-0.323,0.218
