cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,20,CS,ROPE,0.07,True,True,True,LT,-18.62,0.223,-0.436,0.235
0.3,20,CS,ROPE,0.07,True,True,True,ID,-15.799,0.21,-0.368,0.232
0.3,20,CS,ROPE,0.07,True,True,True,LS,-17.756,0.218,-0.402,0.231
