cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
<<<<<<< HEAD
0.4,20,closest,observed,FSlin,ROPE,0.2,True,True,True,LT,-16.836,0.214,-0.118,0.212
0.4,20,closest,observed,FSlin,ROPE,0.2,True,True,True,ID,-15.584,0.206,-0.124,0.208
0.4,20,closest,observed,FSlin,ROPE,0.2,True,True,True,LS,-16.238,0.21,-0.072,0.206
=======
0.4,20,closest,Observed,FSlin,ROPE,0.2,True,True,True,LT,-16.836,0.214,-0.118,0.212
0.4,20,closest,Observed,FSlin,ROPE,0.2,True,True,True,ID,-15.584,0.206,-0.124,0.208
0.4,20,closest,Observed,FSlin,ROPE,0.2,True,True,True,LS,-16.238,0.21,-0.072,0.206
>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298
