cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,10,mean,log-defined,FSlin,ROPE,0.07,True,True,True,LT,-3.239,0.177,-0.362,0.228
0.3,10,mean,log-defined,FSlin,ROPE,0.07,True,True,True,ID,-5.716,0.228,-0.709,0.255
0.3,10,mean,log-defined,FSlin,ROPE,0.07,True,True,True,LS,-1.767,0.141,-0.171,0.21
