Extract,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
2.5,closest,log,CS,ROPE,0.01,False,True,False,LT,-4.405,0.208,0.183,0.13,0.274,0.146,0.1596085365005275
2.5,closest,log,CS,ROPE,0.01,False,True,False,ID,-8.698,0.274,0.252,0.158,0.736,0.088,0.1596085365005275
2.5,closest,log,CS,ROPE,0.01,False,True,False,LS,-6.456,0.24,0.203,0.158,0.463,0.124,0.1596085365005275
