cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.4,20,FSlin,Gauss-Newton,0.07,False,True,True,LT,-6.035,0.23,0.265,0.15
0.4,20,FSlin,Gauss-Newton,0.07,False,True,True,ID,-9.061,0.272,0.994,0.013
0.4,20,FSlin,Gauss-Newton,0.07,False,True,True,LS,-6.318,0.234,0.492,0.122
