cl,percent,sample_loc,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,30,closest,FSeq,Gauss-Newton,0.2,True,False,True,LT,-19.874,0.228,0.272,0.16
0.2,30,closest,FSeq,Gauss-Newton,0.2,True,False,True,ID,-18.28,0.22,0.332,0.16
0.2,30,closest,FSeq,Gauss-Newton,0.2,True,False,True,LS,-19.948,0.226,0.26,0.161
