cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,20,closest,observed,CS,ROPE,0.01,False,True,True,LT,-1.53,0.134,-0.406,0.232
0.2,20,closest,observed,CS,ROPE,0.01,False,True,True,ID,-3.738,0.194,-0.732,0.254
0.2,20,closest,observed,CS,ROPE,0.01,False,True,True,LS,-1.219,0.126,-0.436,0.231
