cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.4,10,FSeq,ROPE,0.2,True,True,True,LT,-2.98,0.171,-1.011,0.248
0.4,10,FSeq,ROPE,0.2,True,True,True,ID,-5.48,0.222,-0.36,0.2
0.4,10,FSeq,ROPE,0.2,True,True,True,LS,-1.996,0.151,-0.266,0.197
