,cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,LT,-12.574,0.186,0.774,0.09
1,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,ID,-10.202,0.172,0.876,0.067
2,0.2,10,FSeq,Gauss-Newton,0.01,True,True,True,LS,-12.386,0.184,0.77,0.092
0,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,LT,-12.574,0.186,0.774,0.09
1,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,ID,-10.202,0.172,0.876,0.067
2,0.2,10,FSeq,Gauss-Newton,0.01,True,True,False,LS,-12.386,0.184,0.77,0.092
0,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,LT,-12.574,0.186,0.774,0.09
1,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,ID,-10.202,0.172,0.876,0.067
2,0.2,10,FSeq,Gauss-Newton,0.01,True,False,True,LS,-12.386,0.184,0.77,0.092
0,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,LT,-12.574,0.186,0.774,0.09
1,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,ID,-10.202,0.172,0.876,0.067
2,0.2,10,FSeq,Gauss-Newton,0.01,True,False,False,LS,-12.386,0.184,0.77,0.092
0,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,LT,-11.735,0.182,0.479,0.136
1,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.68,0.175,0.506,0.136
2,0.2,10,FSeq,Gauss-Newton,0.01,False,True,True,LS,-11.561,0.182,0.447,0.142
0,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,LT,-11.735,0.182,0.479,0.136
1,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.68,0.175,0.506,0.136
2,0.2,10,FSeq,Gauss-Newton,0.01,False,True,False,LS,-11.561,0.182,0.447,0.142
0,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,LT,-11.735,0.182,0.479,0.136
1,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.68,0.175,0.506,0.136
2,0.2,10,FSeq,Gauss-Newton,0.01,False,False,True,LS,-11.561,0.182,0.447,0.142
0,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,LT,-11.735,0.182,0.479,0.136
1,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.68,0.175,0.506,0.136
2,0.2,10,FSeq,Gauss-Newton,0.01,False,False,False,LS,-11.561,0.182,0.447,0.142
0,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,LT,-15.896,0.206,0.62,0.115
1,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,ID,-14.065,0.196,0.724,0.105
2,0.2,10,FSeq,Gauss-Newton,0.07,True,True,True,LS,-15.704,0.203,0.618,0.115
0,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,LT,-15.896,0.206,0.62,0.115
1,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,ID,-14.065,0.196,0.724,0.105
2,0.2,10,FSeq,Gauss-Newton,0.07,True,True,False,LS,-15.704,0.203,0.618,0.115
0,0.2,10,FSeq,Gauss-Newton,0.07,True,False,True,LT,-15.896,0.206,0.62,0.115
1,0.2,10,FSeq,Gauss-Newton,0.07,True,False,True,ID,-14.065,0.196,0.724,0.105
2,0.2,10,FSeq,Gauss-Newton,0.07,True,False,True,LS,-15.704,0.203,0.618,0.115
0,0.2,10,FSeq,Gauss-Newton,0.07,True,False,False,LT,-15.896,0.206,0.62,0.115
1,0.2,10,FSeq,Gauss-Newton,0.07,True,False,False,ID,-14.065,0.196,0.724,0.105
2,0.2,10,FSeq,Gauss-Newton,0.07,True,False,False,LS,-15.704,0.203,0.618,0.115
0,0.2,10,FSeq,Gauss-Newton,0.07,False,True,True,LT,-14.835,0.199,0.868,0.067
1,0.2,10,FSeq,Gauss-Newton,0.07,False,True,True,ID,-12.739,0.184,0.991,0.017
2,0.2,10,FSeq,Gauss-Newton,0.07,False,True,True,LS,-14.758,0.198,0.87,0.068
0,0.2,10,FSeq,Gauss-Newton,0.07,False,True,False,LT,-14.835,0.199,0.868,0.067
1,0.2,10,FSeq,Gauss-Newton,0.07,False,True,False,ID,-12.739,0.184,0.991,0.017
2,0.2,10,FSeq,Gauss-Newton,0.07,False,True,False,LS,-14.758,0.198,0.87,0.068
0,0.2,10,FSeq,Gauss-Newton,0.07,False,False,True,LT,-14.835,0.199,0.868,0.067
1,0.2,10,FSeq,Gauss-Newton,0.07,False,False,True,ID,-12.739,0.184,0.991,0.017
2,0.2,10,FSeq,Gauss-Newton,0.07,False,False,True,LS,-14.758,0.198,0.87,0.068
0,0.2,10,FSeq,Gauss-Newton,0.07,False,False,False,LT,-14.835,0.199,0.868,0.067
1,0.2,10,FSeq,Gauss-Newton,0.07,False,False,False,ID,-12.739,0.184,0.991,0.017
2,0.2,10,FSeq,Gauss-Newton,0.07,False,False,False,LS,-14.758,0.198,0.87,0.068
0,0.2,10,FSeq,Gauss-Newton,0.2,True,True,True,LT,-19.97,0.228,0.268,0.16
1,0.2,10,FSeq,Gauss-Newton,0.2,True,True,True,ID,-18.331,0.22,0.325,0.161
2,0.2,10,FSeq,Gauss-Newton,0.2,True,True,True,LS,-20.034,0.228,0.254,0.162
0,0.2,10,FSeq,Gauss-Newton,0.2,True,True,False,LT,-19.97,0.228,0.268,0.16
1,0.2,10,FSeq,Gauss-Newton,0.2,True,True,False,ID,-18.331,0.22,0.325,0.161
2,0.2,10,FSeq,Gauss-Newton,0.2,True,True,False,LS,-20.034,0.228,0.254,0.162
0,0.2,10,FSeq,Gauss-Newton,0.2,True,False,True,LT,-19.97,0.228,0.268,0.16
1,0.2,10,FSeq,Gauss-Newton,0.2,True,False,True,ID,-18.331,0.22,0.325,0.161
2,0.2,10,FSeq,Gauss-Newton,0.2,True,False,True,LS,-20.034,0.228,0.254,0.162
0,0.2,10,FSeq,Gauss-Newton,0.2,True,False,False,LT,-19.97,0.228,0.268,0.16
1,0.2,10,FSeq,Gauss-Newton,0.2,True,False,False,ID,-18.331,0.22,0.325,0.161
2,0.2,10,FSeq,Gauss-Newton,0.2,True,False,False,LS,-20.034,0.228,0.254,0.162
0,0.2,10,FSeq,Gauss-Newton,0.2,False,True,True,LT,-15.932,0.206,0.726,0.096
1,0.2,10,FSeq,Gauss-Newton,0.2,False,True,True,ID,-14.338,0.198,0.855,0.075
2,0.2,10,FSeq,Gauss-Newton,0.2,False,True,True,LS,-15.956,0.206,0.727,0.095
0,0.2,10,FSeq,Gauss-Newton,0.2,False,True,False,LT,-15.932,0.206,0.726,0.096
1,0.2,10,FSeq,Gauss-Newton,0.2,False,True,False,ID,-14.338,0.198,0.855,0.075
2,0.2,10,FSeq,Gauss-Newton,0.2,False,True,False,LS,-15.956,0.206,0.727,0.095
0,0.2,10,FSeq,Gauss-Newton,0.2,False,False,True,LT,-15.932,0.206,0.726,0.096
1,0.2,10,FSeq,Gauss-Newton,0.2,False,False,True,ID,-14.338,0.198,0.855,0.075
2,0.2,10,FSeq,Gauss-Newton,0.2,False,False,True,LS,-15.956,0.206,0.727,0.095
0,0.2,10,FSeq,Gauss-Newton,0.2,False,False,False,LT,-15.932,0.206,0.726,0.096
1,0.2,10,FSeq,Gauss-Newton,0.2,False,False,False,ID,-14.338,0.198,0.855,0.075
2,0.2,10,FSeq,Gauss-Newton,0.2,False,False,False,LS,-15.956,0.206,0.727,0.095
0,0.2,10,FSeq,ROPE,0.01,True,True,True,LT,-16.989,0.213,-0.291,0.221
1,0.2,10,FSeq,ROPE,0.01,True,True,True,ID,-15.91,0.207,-0.183,0.205
2,0.2,10,FSeq,ROPE,0.01,True,True,True,LS,-16.175,0.208,-0.246,0.216
0,0.2,10,FSeq,ROPE,0.01,True,True,False,LT,-1.17,0.077,-0.113,0.205
1,0.2,10,FSeq,ROPE,0.01,True,True,False,ID,-1.944,0.088,-0.164,0.208
2,0.2,10,FSeq,ROPE,0.01,True,True,False,LS,-1.404,0.079,-0.148,0.207
0,0.2,10,FSeq,ROPE,0.01,True,False,True,LT,-14.57,0.204,-0.148,0.206
1,0.2,10,FSeq,ROPE,0.01,True,False,True,ID,-13.7,0.198,-0.152,0.206
2,0.2,10,FSeq,ROPE,0.01,True,False,True,LS,-13.902,0.199,-0.099,0.2
0,0.2,10,FSeq,ROPE,0.01,True,False,False,LT,-0.887,0.072,0.088,0.188
1,0.2,10,FSeq,ROPE,0.01,True,False,False,ID,-2.797,0.098,-0.016,0.197
2,0.2,10,FSeq,ROPE,0.01,True,False,False,LS,-0.862,0.072,0.07,0.19
0,0.2,10,FSeq,ROPE,0.01,True,False,False,LT,-0.887,0.072,0.088,0.188
1,0.2,10,FSeq,ROPE,0.01,True,False,False,ID,-2.797,0.098,-0.016,0.197
2,0.2,10,FSeq,ROPE,0.01,True,False,False,LS,-0.862,0.072,0.07,0.19
0,0.2,10,FSeq,ROPE,0.01,False,True,False,LT,-0.319,0.06,-0.154,0.205
1,0.2,10,FSeq,ROPE,0.01,False,True,False,ID,-1.348,0.079,-0.245,0.212
2,0.2,10,FSeq,ROPE,0.01,False,True,False,LS,-0.341,0.06,-0.196,0.208
0,0.2,10,FSeq,ROPE,0.01,False,True,False,LT,-0.319,0.06,-0.154,0.205
1,0.2,10,FSeq,ROPE,0.01,False,True,False,ID,-1.348,0.079,-0.245,0.212
2,0.2,10,FSeq,ROPE,0.01,False,True,False,LS,-0.341,0.06,-0.196,0.208
0,0.2,10,FSeq,ROPE,0.01,False,False,False,LT,-1.154,0.075,-0.088,0.196
1,0.2,10,FSeq,ROPE,0.01,False,False,False,ID,-2.34,0.092,-0.162,0.208
2,0.2,10,FSeq,ROPE,0.01,False,False,False,LS,-1.156,0.075,-0.123,0.2
0,0.2,10,FSeq,ROPE,0.07,True,True,True,LT,-17.132,0.218,-0.173,0.211
1,0.2,10,FSeq,ROPE,0.07,True,True,True,ID,-13.942,0.2,-0.076,0.204
2,0.2,10,FSeq,ROPE,0.07,True,True,True,LS,-16.272,0.212,-0.114,0.205
