Extract,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
2.5,closest,observed,FSeq,Gauss-Newton,0.2,True,True,False,LT,-7.564,0.253,0.213,0.152,0.161,0.16,0.9583399732797112
2.5,closest,observed,FSeq,Gauss-Newton,0.2,True,True,False,ID,-9.83,0.289,0.251,0.154,0.886,0.058,0.9583399732797112
2.5,closest,observed,FSeq,Gauss-Newton,0.2,True,True,False,LS,-7.38,0.252,0.207,0.157,0.437,0.129,0.9583399732797112
