cl,percent,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,20,FSeq,ROPE,0.07,True,True,True,LT,-19.664,0.234,-0.452,0.234
0.2,20,FSeq,ROPE,0.07,True,True,True,ID,-17.834,0.222,-0.413,0.227
0.2,20,FSeq,ROPE,0.07,True,True,True,LS,-18.998,0.23,-0.39,0.228
