,cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LT,-8.119,0.26,-1.775,0.315
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,ID,-9.617,0.287,-2.213,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LS,-7.945,0.258,-1.836,0.317
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,True,LT,-8.119,0.26,-1.775,0.315
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,True,ID,-9.617,0.287,-2.213,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,True,LS,-7.945,0.258,-1.836,0.317
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LT,-8.119,0.26,-1.775,0.315
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,ID,-9.617,0.287,-2.213,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LS,-7.945,0.258,-1.836,0.317
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,False,LT,-8.119,0.26,-1.775,0.315
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,False,ID,-9.617,0.287,-2.213,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,True,False,LS,-7.945,0.258,-1.836,0.317
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LT,-8.119,0.26,-1.775,0.315
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,ID,-9.617,0.287,-2.213,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LS,-7.945,0.258,-1.836,0.317
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,True,LT,-8.119,0.26,-1.775,0.315
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,True,ID,-9.617,0.287,-2.213,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,True,LS,-7.945,0.258,-1.836,0.317
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LT,-8.119,0.26,-1.775,0.315
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,ID,-9.617,0.287,-2.213,0.336
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LS,-7.945,0.258,-1.836,0.317
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,False,LT,-8.119,0.26,-1.775,0.315
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,False,ID,-9.617,0.287,-2.213,0.336
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,True,False,False,LS,-7.945,0.258,-1.836,0.317
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LT,-7.59,0.252,-2.339,0.335
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.922,0.305,-2.796,0.375
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LS,-8.958,0.269,-2.482,0.348
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,True,LT,-7.59,0.252,-2.339,0.335
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.922,0.305,-2.796,0.375
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,True,LS,-8.958,0.269,-2.482,0.348
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LT,-7.59,0.252,-2.339,0.335
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.922,0.305,-2.796,0.375
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LS,-8.958,0.269,-2.482,0.348
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,False,LT,-7.59,0.252,-2.339,0.335
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.922,0.305,-2.796,0.375
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,True,False,LS,-8.958,0.269,-2.482,0.348
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LT,-7.59,0.252,-2.339,0.335
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.922,0.305,-2.796,0.375
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LS,-8.958,0.269,-2.482,0.348
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,True,LT,-7.59,0.252,-2.339,0.335
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.922,0.305,-2.796,0.375
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,True,LS,-8.958,0.269,-2.482,0.348
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LT,-7.59,0.252,-2.339,0.335
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.922,0.305,-2.796,0.375
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LS,-8.958,0.269,-2.482,0.348
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,False,LT,-7.59,0.252,-2.339,0.335
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.922,0.305,-2.796,0.375
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.01,False,False,False,LS,-8.958,0.269,-2.482,0.348
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LT,-8.046,0.262,-1.725,0.309
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,ID,-9.644,0.286,-1.995,0.332
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LS,-7.733,0.256,-1.705,0.311
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,True,LT,-8.046,0.262,-1.725,0.309
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,True,ID,-9.644,0.286,-1.995,0.332
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,True,LS,-7.733,0.256,-1.705,0.311
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LT,-8.046,0.262,-1.725,0.309
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,ID,-9.644,0.286,-1.995,0.332
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LS,-7.733,0.256,-1.705,0.311
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,False,LT,-8.046,0.262,-1.725,0.309
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,False,ID,-9.644,0.286,-1.995,0.332
7,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,True,False,LS,-7.733,0.256,-1.705,0.311
8,>>>>>>> 71aeea01e1e34ecfbe108216658ca36a97d4b298,,,,,,,,,,,,,,
0,<<<<<<< HEAD,,,,,,,,,,,,,,
1,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LT,-8.046,0.262,-1.725,0.309
2,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,ID,-9.644,0.286,-1.995,0.332
3,0.2,10.0,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LS,-7.733,0.256,-1.705,0.311
4,=======,,,,,,,,,,,,,,
5,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,True,LT,-8.046,0.262,-1.725,0.309
6,0.2,10.0,mean,Observed,FSeq,Gauss-Newton,0.07,True,False,True,ID,-9.644,0.286,-1.995,0.332
