cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.3,20,mean,FSeq,ROPE,0.2,False,False,False,LT,-1.793,0.084,-0.034,0.198
0.3,20,mean,FSeq,ROPE,0.2,False,False,False,ID,-2.499,0.097,-0.086,0.199
0.3,20,mean,FSeq,ROPE,0.2,False,False,False,LS,-1.72,0.082,-0.081,0.202
