cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.4,20,mean,FSeq,ROPE,0.2,False,True,False,LT,-0.794,0.069,0.182,0.182
0.4,20,mean,FSeq,ROPE,0.2,False,True,False,ID,-1.301,0.077,0.109,0.182
0.4,20,mean,FSeq,ROPE,0.2,False,True,False,LS,-0.72,0.068,0.156,0.184
