cl,percent,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.2,20,mean,log-defined,CS,ROPE,0.07,True,False,True,LT,-14.962,0.204,-0.218,0.215
0.2,20,mean,log-defined,CS,ROPE,0.07,True,False,True,ID,-13.143,0.193,-0.116,0.201
0.2,20,mean,log-defined,CS,ROPE,0.07,True,False,True,LS,-14.162,0.2,-0.176,0.21
