cl,percent,Samples location,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,0R2,0RMSE
0.4,10,mean,FSlin,Gauss-Newton,0.2,False,False,True,LT,-5.844,0.228,-1.304,0.284
0.4,10,mean,FSlin,Gauss-Newton,0.2,False,False,True,ID,-8.568,0.266,-1.735,0.316
0.4,10,mean,FSlin,Gauss-Newton,0.2,False,False,True,LS,-6.194,0.234,-1.45,0.292
