,Extract,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LT,-7.812,0.256,0.218,0.18,-0.006,0.175,0.9789587938613966
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,ID,-9.528,0.286,0.247,0.178,0.921,0.048,0.9789587938613966
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,True,LS,-7.786,0.255,0.216,0.18,0.26,0.15,0.9789587938613966
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LT,-7.812,0.256,0.218,0.18,-0.006,0.175,0.9789587938613966
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,ID,-9.528,0.286,0.247,0.178,0.921,0.048,0.9789587938613966
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,True,False,LS,-7.786,0.255,0.216,0.18,0.26,0.15,0.9789587938613966
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LT,-7.788,0.256,0.218,0.18,-0.02,0.176,0.9791564478931912
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,ID,-9.52,0.286,0.247,0.176,0.917,0.05,0.9791564478931912
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,True,LS,-7.81,0.255,0.217,0.18,0.249,0.15,0.9791564478931912
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LT,-7.788,0.256,0.218,0.18,-0.02,0.176,0.9791564478931912
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,ID,-9.52,0.286,0.247,0.176,0.917,0.05,0.9791564478931912
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,True,False,False,LS,-7.81,0.255,0.217,0.18,0.249,0.15,0.9791564478931912
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LT,-7.308,0.247,0.211,0.212,0.234,0.148,0.921658370720488
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,ID,-11.599,0.302,0.279,0.247,0.31,0.138,0.921658370720488
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,True,LS,-8.701,0.266,0.232,0.228,0.145,0.158,0.921658370720488
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LT,-7.308,0.247,0.211,0.212,0.234,0.148,0.921658370720488
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,ID,-11.599,0.302,0.279,0.247,0.31,0.138,0.921658370720488
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,True,False,LS,-8.701,0.266,0.232,0.228,0.145,0.158,0.921658370720488
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LT,-7.376,0.247,0.213,0.21,0.262,0.146,0.919690327106721
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,ID,-11.623,0.303,0.281,0.248,0.33,0.136,0.919690327106721
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,True,LS,-8.701,0.266,0.232,0.227,0.172,0.157,0.919690327106721
0,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LT,-7.376,0.247,0.213,0.21,0.262,0.146,0.919690327106721
1,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,ID,-11.623,0.303,0.281,0.248,0.33,0.136,0.919690327106721
2,0.5,mean,observed,FSeq,Gauss-Newton,0.01,False,False,False,LS,-8.701,0.266,0.232,0.227,0.172,0.157,0.919690327106721
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LT,-7.854,0.258,0.216,0.174,-0.031,0.176,0.9732885968070296
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,ID,-9.518,0.282,0.249,0.166,0.88,0.057,0.9732885968070296
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,True,LS,-7.522,0.253,0.21,0.17,0.258,0.151,0.9732885968070296
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LT,-7.854,0.258,0.216,0.174,-0.031,0.176,0.9732885968070296
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,ID,-9.518,0.282,0.249,0.166,0.88,0.057,0.9732885968070296
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,True,False,LS,-7.522,0.253,0.21,0.17,0.258,0.151,0.9732885968070296
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LT,-7.874,0.258,0.216,0.174,-0.036,0.177,0.97373301088076
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,ID,-9.51,0.282,0.249,0.166,0.877,0.058,0.97373301088076
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,True,LS,-7.544,0.254,0.21,0.17,0.253,0.152,0.97373301088076
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LT,-7.874,0.258,0.216,0.174,-0.036,0.177,0.97373301088076
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,ID,-9.51,0.282,0.249,0.166,0.877,0.058,0.97373301088076
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,True,False,False,LS,-7.544,0.254,0.21,0.17,0.253,0.152,0.97373301088076
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LT,-6.14,0.234,0.194,0.175,0.216,0.154,0.8990052699685097
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,ID,-9.032,0.274,0.236,0.182,0.977,0.025,0.8990052699685097
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,True,LS,-6.44,0.236,0.188,0.176,0.446,0.132,0.8990052699685097
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LT,-6.14,0.234,0.194,0.175,0.216,0.154,0.8990052699685097
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,ID,-9.032,0.274,0.236,0.182,0.977,0.025,0.8990052699685097
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,True,False,LS,-6.44,0.236,0.188,0.176,0.446,0.132,0.8990052699685097
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LT,-6.32,0.236,0.196,0.173,0.225,0.154,0.8969174533691868
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,ID,-9.114,0.276,0.239,0.18,0.983,0.021,0.8969174533691868
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,True,LS,-6.522,0.236,0.192,0.175,0.437,0.132,0.8969174533691868
0,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LT,-6.32,0.236,0.196,0.173,0.225,0.154,0.8969174533691868
1,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,ID,-9.114,0.276,0.239,0.18,0.983,0.021,0.8969174533691868
2,0.5,mean,observed,FSeq,Gauss-Newton,0.07,False,False,False,LS,-6.522,0.236,0.192,0.175,0.437,0.132,0.8969174533691868
0,0.5,mean,observed,FSeq,Gauss-Newton,0.2,True,True,True,LT,-7.802,0.256,0.214,0.168,0.013,0.174,0.9588952628210464
