Extract,Samples location,Interface,Forward_Model,Minimization_Method,Alpha,remove_coil,start_avg,constrain,Det,R2,RMSE,MAE,STD,0R2,0RMSE,R2_INV
2.5,mean,observed,FSeq,ROPE,0.01,False,False,True,LT,-2.899,0.166,0.142,0.144,-1.308,0.252,0.0384607348806795
2.5,mean,observed,FSeq,ROPE,0.01,False,False,True,ID,-5.341,0.218,0.183,0.134,-0.452,0.202,0.0384607348806795
2.5,mean,observed,FSeq,ROPE,0.01,False,False,True,LS,-2.431,0.155,0.134,0.119,-0.616,0.21,0.0384607348806795
