,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,name,depth,x_clhs,y_clhs,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm
5166,107720.118,183326.96,26.1909152,40954.67,35.8952412,19.47823797,54.6517611,38.2373718,52.84529568,50.25849249,0.944679567,1.007450812,1.009042793,0.446184333,1.307440694,-3.008630391,1,50,107719.853,183326.516,6.86,28.088,54.928,34.73,10.343,,,1.492,0.40361,20,25.4,56.8,89.9
19244,107755.589,183331.1,26.8951584,42473.18,20.79848839,8.568528478,38.80650636,18.56741778,49.16182719,35.05323961,0.958049507,1.039043948,0.987898399,0.489410134,1.31547903,-2.453753068,2,50,107755.838,183331.095,6.77,7.12,14.82,52.238,32.942,,,1.77,0.25845,15,23,20.6,12.8
22350,107797.402,183278.579,28.4706568,42812.37,51.94948253,22.53059206,89.57507771,47.96644374,107.9783674,84.26464217,0.958535299,1.031603995,1.053537652,0.464473328,1.725769964,-2.649652854,3,50,107797.963,183278.886,7.37,21.549,37.307,28.79,33.903,,,1.248,0.47371,3,26.4,60.9,97.8
19352,107763.816,183318.112,27.3446688,42491.37,17.42428013,7.430909895,31.8440198,15.21750723,45.4568272,27.64231611,0.95822882,1.037272533,1.00008397,0.50536264,1.321467126,-2.778614916,4,50,107764.388,183318.416,6.79,6.41,14.739,45.399,39.861,,,1.742,0.23969,10,24.4,21.5,14.4
1556,107723.005,183309.182,26.586,40592.63,41.85676897,22.67571279,61.3967591,43.65571552,55.72934007,57.71705338,0.952039129,1.028884606,0.99133275,0.477327975,1.31486279,-2.659049604,5,50,107723.617,183309.551,7.13,32.962,60.946,33.328,5.725,,,1.291,0.46804,7,25.4,51,67.1
14669,107742.651,183330.207,26.664,41906.95,26.16482001,12.39028936,44.50738504,26.01948157,48.81000255,41.99962369,0.94861643,1.028893034,0.984506804,0.497617094,1.278024181,-2.361248616,6,50,107742.174,183329.651,6.99,14.162,26.589,43.811,29.6,,,1.379,0.45196,18,23.7,43.8,61.1
23383,107805.822,183273.987,28.65,42915.67,50.43537412,19.46345229,90.77813701,43.18554825,115.2201432,81.78432526,0.95977519,1.022977083,1.053316543,0.349025086,1.80408662,-3.183890828,7,50,107806.339,183274.885,7.32,7.422,14.696,28.668,56.637,,,1.691,0.2201,12,27.5,18.1,15.9
15706,107758.685,183312.601,27.35,42107.27,20.30266264,9.840765616,36.30570581,19.55198463,48.05473536,34.49049026,0.948893145,1.028618486,0.995479683,0.534732761,1.373640733,-2.367674892,8,50,107758.704,183312.634,6.33,7.612,16.873,46.152,36.975,,,1.876,0.15773,423,22.4,12.7,9.4
22198,107776.692,183310.756,27.5510368,42797.16,31.98025118,11.55637547,58.91916989,26.49749524,77.07003754,53.55654884,0.94809784,1.041764083,0.993040825,0.474818649,1.456716985,-2.637578585,9,50,107775.993,183310.289,7.24,8.751,18.018,45.765,36.217,,,1.78,0.30722,4,23.9,16.3,15.6
5128,107726.371,183318.719,26.563,40950.86,44.69528364,22.97830682,68.84778706,47.83819043,62.34481407,67.26143002,0.944675223,1.027515719,0.979041083,0.536184333,1.367444164,-2.498584048,10,50,107726.74,183319.096,7.19,33.2,64.061,30.681,5.259,,,1.24,0.48412,23,23.7,58.6,79.3
22744,107766.469,183327.314,27.1795488,42851.76,20.45103517,7.743880457,37.39882672,16.39981022,51.88833344,31.13130335,0.94908813,1.031440329,1.003779379,0.494615184,1.302495585,-2.6296062,11,50,107766.796,183327.428,6.75,4.891,12.692,54.808,32.5,,,1.681,0.21031,8,23.7,21.3,12.2
19443,107777.021,183299.37,27.85,42500.46,34.43270162,12.62280266,64.73274433,29.81245537,83.56545721,60.24304748,0.958453563,1.026942295,1.000495705,0.464205341,1.450731385,-2.479687993,12,50,107777.193,183299.459,7.24,8.064,16.931,50.535,32.534,,,1.898,0.16165,415,23,21.8,21
9680,107752.33,183298.809,27.45,41407.83,38.67130096,18.98603547,63.60415183,39.82014998,65.68431763,61.28327009,0.947684168,1.032174235,1.008854683,0.48892216,1.400109253,-2.483582827,13,50,107751.848,183298.452,7.34,19.254,32.385,27.489,40.126,,,1.382,0.40536,470,23.7,30.8,38.6
9811,107732.66,183327.436,26.5541536,41420.95,34.46278999,14.46014941,59.55776766,33.95605515,67.93135205,58.15342045,0.947779639,1.022071976,0.998656816,0.437652974,1.360322589,-2.593649834,14,50,107732.833,183327.555,6.92,7.14,12.707,11.525,75.767,,,1.628,0.14206,17,25.1,18.2,16.1
17044,107776.543,183291.428,27.95,42241.07,41.13591741,17.55223533,72.9424524,38.34994201,87.6547433,67.19781535,0.952446744,1.01537536,1.029900201,0.402611961,1.599876892,-3.141169631,15,50,107776.559,183291.247,7.45,10.744,22.892,50.941,26.167,,,1.724,0.30856,400,22.8,30.7,32.4
22744,107766.469,183327.314,27.1795488,42851.76,20.45103517,7.743880457,37.39882672,16.39981022,51.88833344,31.13130335,0.94908813,1.031440329,1.003779379,0.494615184,1.302495585,-2.6296062,11,10,107766.796,183327.428,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3
19443,107777.021,183299.37,27.85,42500.46,34.43270162,12.62280266,64.73274433,29.81245537,83.56545721,60.24304748,0.958453563,1.026942295,1.000495705,0.464205341,1.450731385,-2.479687993,12,10,107777.193,183299.459,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4
9680,107752.33,183298.809,27.45,41407.83,38.67130096,18.98603547,63.60415183,39.82014998,65.68431763,61.28327009,0.947684168,1.032174235,1.008854683,0.48892216,1.400109253,-2.483582827,13,10,107751.848,183298.452,6.6,11.743,20.303,39.878,39.819,19,3.8,1.588,0.23165,416,23,13.4,10.4
9811,107732.66,183327.436,26.5541536,41420.95,34.46278999,14.46014941,59.55776766,33.95605515,67.93135205,58.15342045,0.947779639,1.022071976,0.998656816,0.437652974,1.360322589,-2.593649834,14,10,107732.833,183327.555,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6
17044,107776.543,183291.428,27.95,42241.07,41.13591741,17.55223533,72.9424524,38.34994201,87.6547433,67.19781535,0.952446744,1.01537536,1.029900201,0.402611961,1.599876892,-3.141169631,15,10,107776.559,183291.247,6.76,9.322,15.223,46.155,38.621,14,2.8,1.679,0.27536,422,23,20.6,12.5
