name,x,y,wet_weight,dry_weight,grav_mois,bd,porosity,vol_moist,ph-eau,CEC,clay,total silt,tot_sand,TOC,humus,Soil moisture (%),Soil Temperature (°C),Bulk EC (raw) [mS/m],Bulk EC (TC) [mS/m],Pore water EC,Rawl real dielectric,Raw imaginary dielectric,Loss Tangent
1,107719.853,183326.516,186.41,149.08,0.250402468,1.536907216,0.420035013,38.48453608,6.6,15.16,22.84,42.132,35.028,19.3,3.9,35.2,14.7,0.44,0.51,1.97,23.722,15.852,0.67
2,107755.838,183331.095,183.24,149.18,0.228314788,1.537938144,0.419645983,35.11340206,6.36,6.33,10.27,50.16,39.569,12.2,2.4,31.1,14.6,0.16,0.19,0.89,20.203,5.857,0.29
3,107797.963,183278.886,185.88,146.05,0.272714824,1.505670103,0.431822603,41.06185567,6.6,9.75,14.066,45.87,40.063,17.2,3.4,33.3,14,0.27,0.32,1.35,22.041,9.626,0.44
4,107764.388,183318.416,188.61,150.72,0.251393312,1.553814433,0.413654931,39.06185567,6.33,5.8,11.237,47.195,41.568,12.8,2.6,29.7,13.1,0.16,0.19,0.95,19.107,5.809,0.3
5,107723.617,183309.551,172.27,128.89,0.336566064,1.328762887,0.498580043,44.72164948,6.6,16.57,26.081,39.904,34.015,23,4.6,31.2,14.6,0.38,0.44,2.04,20.317,13.615,0.67
6,107742.174,183329.651,187.79,148.11,0.267908987,1.526907216,0.423808598,40.90721649,6.5,9.941,15.97,45.215,38.815,16.8,3.4,35.5,15,0.28,0.33,1.38,22.226,10.165,0.46
7,107806.339,183274.885,198.82,159.5,0.246520376,1.644329897,0.379498152,40.53608247,6.56,9.868,15.173,44.224,40.602,17.8,3.6,37.2,13.8,0.34,0.4,1.41,25.594,12.13,0.47
8,107758.704,183312.634,176.76,141.77,0.24680821,1.461546392,0.44847306,36.07216495,7.23,6.785,12.324,45.037,42.639,15.5,3.1,32.6,13.1,0.21,0.25,1.09,21.442,7.516,0.35
9,107775.993,183310.289,180.15,140.42,0.282936904,1.447628866,0.453724956,40.95876289,6.56,6.147,11.631,49.871,38.498,12.5,2.5,36.3,13.3,0.21,0.25,0.92,24.76,7.635,0.31
10,107726.74,183319.096,198.72,156.18,0.272378025,1.610103093,0.392413927,43.8556701,6.56,15.774,25.914,38.833,35.253,25.9,5.2,41.3,14.6,0.6,0.7,2.11,29.458,21.568,0.73
11,107766.796,183327.428,185.24,149.44,0.239561028,1.540618557,0.418634507,36.90721649,6.19,5.176,11.694,49.72,38.585,14.2,2.8,32.2,14.6,0.17,0.2,0.89,21.102,6.123,0.29
12,107777.193,183299.459,200.43,161.15,0.243748061,1.661340206,0.373079167,40.49484536,6.49,7.247,12.271,47.864,39.866,13.7,2.7,42.2,13.7,0.39,0.46,1.34,30.396,13.957,0.46
13,107751.848,183298.452,187.05,143.82,0.300584063,1.482680412,0.440497958,44.56701031,6.6,11.743,20.303,39.878,39.819,19,3.8,47.6,14.7,0.55,0.64,1.54,36.069,19.806,0.55
14,107732.833,183327.555,183.39,142.28,0.288937307,1.466804124,0.44648901,42.3814433,6.79,13.421,22.237,38.55,39.213,18.9,3.8,44,14.9,0.49,0.57,1.55,32.302,17.562,0.54
15,107776.559,183291.247,190.8,146.8,0.29972752,1.513402062,0.428904882,45.36082474,6.76,9.322,15.223,46.155,38.621,14,2.8,47.5,14.6,0.52,0.6,1.44,36.052,18.584,0.52
