x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP
107776.293,183252.4176,28.559375,40376.03,86.2,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.293,183252.4175,28.559375,40377.75,86.5,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.293,183252.4173,28.559375,40377.85,86.4,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.293,183252.4171,28.559375,40377.95,86.4,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2928,183252.4159,28.559375,40387.15,86.1,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2928,183252.4159,28.559375,40388.71,86.3,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2928,183252.4157,28.559375,40388.81,86.3,43.8,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2928,183252.4155,28.559375,40388.91,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.02,86.2,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.22,86.2,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.32,86.2,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.42,86.2,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.52,86.1,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4143,28.559375,40396.72,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4142,28.559375,40398.19,86.6,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4142,28.559375,40398.33,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4142,28.559375,40398.4,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4142,28.559375,40398.48,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4141,28.559375,40398.64,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4141,28.559375,40398.73,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2926,183252.4141,28.559375,40398.8,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.04,86.2,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.14,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.24,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.34,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.44,86.6,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.54,86.6,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40401.64,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4126,28.559375,40402.63,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2924,183252.4123,28.559375,40402.83,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2923,183252.4122,28.559375,40402.93,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.03,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.13,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.21,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.3,86.5,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.4,86.4,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
107776.2922,183252.411,28.559375,40405.51,86.3,43.6,135.2,87.1,143,130.6,1.03,0.96,1.14,0.27,2.01,-3.36
