x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph
107769.7897,183238.1075,28.55,32700.12,141.9386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1076,28.55,32700.32,141.7386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1076,28.55,32700.52,142.1386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1077,28.55,32700.72,142.0386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.11,28.55,32700.92,141.7386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.113,28.55,32701.11,141.8386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1184,28.55,32702.13,141.7386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7896,183238.1184,28.55,32702.33,141.8386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7893,183238.1184,28.55,32702.61,141.9386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7891,183238.1184,28.55,32702.73,142.0386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7862,183238.1184,28.55,32702.93,142.0386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7821,183238.1185,28.55,32703.13,142.0386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7753,183238.1185,28.55,32727.11,141.8386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7753,183238.1185,28.55,32727.31,141.9386945,70.05267032,137.485856,107.7601315,102.1714813,129.73283,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
