x,y,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,p_ID
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,108.50476695599517,69.43389490422277,158.94355031164287,101.50293928534636,242.57926385570175,146.59449933866168,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),11.0
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,108.50476695599517,69.43389490422277,158.94355031164287,101.50293928534636,242.57926385570175,146.59449933866168,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),12.0
41668.44947304861,204314.75870067533,27261,0.6925250000017289,53970.95000000001,114.29849546581671,75.15689593322314,166.47098595024818,109.85824825718758,245.48045733479955,158.49219168511993,1.99,0.19,6.38,0.45,27.16,1.34,POINT (487462.6120899423 5665267.497924988),13.0
41668.57399014526,204314.14389404096,27262,0.6645151999989809,53971.140000000014,118.8366019176814,87.75269439348284,172.15075530926782,115.49860119894727,251.1282564822112,171.89560283061266,1.97,0.25,6.33,0.34,27.62,2.49,POINT (487462.74784503103 5665266.885758976),14.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,124.11352269796662,96.91775366791668,180.81209105673457,125.42834738885861,258.1277323736231,184.41602008590345,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),15.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,124.11352269796662,96.91775366791668,180.81209105673457,125.42834738885861,258.1277323736231,184.41602008590345,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),16.0
41668.84943478776,204312.7940374585,27264,0.6500000000000001,53971.54999999999,134.70756271906467,100.92865094377761,191.6448705200793,138.29848628308196,267.8485195445245,195.87560364306088,1.98,0.2,6.55,0.57,28.55,2.63,POINT (487463.0479624031 5665265.541737935),17.0
41668.9801242432,204312.1908877995,27265,0.6500000000000001,53971.75,143.5147082453995,100.35562153604421,205.06326088100906,145.52337455029286,280.68847478758175,207.07017035762635,1.99,0.19,6.8,0.69,29.27,3.74,POINT (487463.1896719144 5665264.941335794),18.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,150.14314451324987,98.6366214690636,216.48176374763713,146.50025140547515,296.44386758797793,218.15865238744007,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),19.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,150.14314451324987,98.6366214690636,216.48176374763713,146.50025140547515,296.44386758797793,218.15865238744007,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),20.0
