x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,p_ID
41668.31481,204315.4004,0.7204512,53970.75,106.9883511,69.79919479,155.3620934,100.5152152,235.9253546,143.1777174,1.96,0.12,6.41,0.41,26.9,0.68,11
41668.31481,204315.4004,0.7204512,53970.75,106.9883511,69.79919479,155.3620934,100.5152152,235.9253546,143.1777174,1.96,0.12,6.41,0.41,26.9,0.68,12
41668.44947,204314.7587,0.692525,53970.95,112.8558989,75.58441859,162.987798,108.9525982,238.8697386,155.2574949,1.99,0.19,6.38,0.45,27.16,1.34,13
41668.57399,204314.1439,0.6645152,53971.14,117.4520511,88.31722,168.7424724,114.6484112,244.6027745,168.8673295,1.97,0.25,6.33,0.34,27.62,2.49,14
41668.70589,204313.4887,0.6504672,53971.34,122.7967046,97.58201501,177.5192381,124.6759009,251.7093949,181.5818053,1.94,0.25,6.35,0.38,28.03,2.57,15
41668.70589,204313.4887,0.6504672,53971.34,122.7967046,97.58201501,177.5192381,124.6759009,251.7093949,181.5818053,1.94,0.25,6.35,0.38,28.03,2.57,16
41668.84943,204312.794,0.65,53971.55,133.5274512,101.6365724,188.498347,137.6729293,261.5821188,193.2200464,1.98,0.2,6.55,0.57,28.55,2.63,17
41668.98012,204312.1909,0.65,53971.75,142.448936,101.0573048,202.1008612,144.9691488,274.6289076,204.5900976,1.99,0.19,6.8,0.69,29.27,3.74,18
41669.12606,204311.5522,0.65,53971.94,149.1638145,99.31959235,213.6784206,145.9556758,290.6473017,215.8533336,2,0.18,6.92,0.65,29.88,4.19,19
41669.12606,204311.5522,0.65,53971.94,149.1638145,99.31959235,213.6784206,145.9556758,290.6473017,215.8533336,2,0.18,6.92,0.65,29.88,4.19,20
41669.28864,204310.8778,0.65,53972.15,154.2131298,99.02998674,222.80134,148.3238763,308.2204005,223.8387413,2.01,0.13,6.95,0.62,30.56,4.05,21
41669.46967,204310.1615,0.643925,53972.36,159.0859633,102.7951524,229.4121334,151.2851905,323.6868585,225.339235,2.02,0.16,7,0.74,31.35,4.46,22
41669.46967,204310.1615,0.643925,53972.36,159.0859633,102.7951524,229.4121334,151.2851905,323.6868585,225.339235,2.02,0.16,7,0.74,31.35,4.46,23
41669.65117,204309.472,0.621825,53972.55,162.4654592,105.402177,232.9154312,150.8902804,333.9451468,224.3387923,2.03,0.22,7.21,0.78,32.09,4.98,24
41669.81435,204308.8737,0.592525,53972.76,164.3450623,103.9537925,235.5031151,149.7056759,337.8511562,224.5055012,2.06,0.19,7.41,0.7,32.53,5.44,25
41670.00186,204308.2093,0.565625,53972.96,166.0379849,102.5055018,237.7253888,150.8902804,338.3743727,225.172463,2.1,0.16,7.33,0.72,32.93,5.55,26
41670.00186,204308.2093,0.565625,53972.96,166.0379849,102.5055018,237.7253888,150.8902804,338.3743727,225.172463,2.1,0.16,7.33,0.72,32.93,5.55,27
41670.15453,204307.6858,0.550725,53973.13,166.6025611,100.7676767,237.7253888,153.2600565,337.5897609,225.8396267,2.11,0.19,7.33,0.74,33.31,5.27,28
41670.3466,204307.0499,0.5553312,53973.33,167.7321157,100.7676767,241.6238272,154.8403274,337.3283656,227.8423304,2.1,0.2,7.35,0.76,33.74,5.99,29
41670.52277,204306.4886,0.5553312,53973.53,168.108753,99.89881484,243.1121134,155.2354477,338.8982884,231.8532031,2.07,0.2,7.33,0.74,34.16,6.82,30
41670.73131,204305.8502,0.5768192,53973.73,168.4854496,100.7676767,244.2294748,156.4209345,346.2949907,236.0389626,2.08,0.15,7.32,0.71,34.5,6.24,31
41670.73131,204305.8502,0.5768192,53973.73,168.4854496,100.7676767,244.2294748,156.4209345,346.2949907,236.0389626,2.08,0.15,7.32,0.71,34.5,6.24,32
41670.91631,204305.3064,0.607475,53973.93,169.050606,101.9262117,247.9611115,156.618534,360.0776238,238.3864583,2.08,0.14,7.4,0.75,34.96,6.2,33
41671.12674,204304.7098,0.634375,53974.15,169.427451,99.31959235,253.3913871,152.4700471,375.4142832,239.0576298,2.07,0.19,7.48,0.76,35.51,6.91,34
41671.35487,204304.085,0.6489632,53974.35,170.1813189,92.94913642,256.3972347,146.3503234,389.2261444,239.0576298,2.08,0.18,7.53,0.68,36.03,7.1,35
41671.59446,204303.4493,0.643925,53974.56,168.2970938,88.02775719,257.1497895,143.3909786,400.7604237,238.3864583,2.1,0.15,7.53,0.68,36.45,6.95,36
41671.59446,204303.4493,0.643925,53974.56,168.2970938,88.02775719,257.1497895,143.3909786,400.7604237,238.3864583,2.1,0.15,7.53,0.68,36.45,6.95,37
41671.80629,204302.9022,0.6204512,53974.76,168.8622057,89.76459047,258.0910978,144.7718591,406.4857126,235.7038097,2.1,0.15,7.56,0.7,36.84,6.47,38
41672.04435,204302.3028,0.592525,53974.96,173.3878953,92.37009423,260.7303959,147.7317553,404.9720977,234.1962506,2.09,0.17,7.64,0.72,37.2,5.7,39
41672.25241,204301.7912,0.5645152,53975.14,175.4650062,91.21205496,260.7303959,149.1134446,398.9670169,233.5265546,2.1,0.2,7.64,0.76,37.36,5.35,40
41672.50386,204301.1875,0.5504672,53975.34,173.7654197,89.76459047,263.9424609,149.3108498,391.2753186,234.6986559,2.13,0.21,7.83,0.75,37.33,5.8,41
41672.71463,204300.6931,0.55,53975.53,173.3878953,90.05407585,263.9424609,151.0877328,385.1549097,238.050949,2.14,0.2,7.83,0.74,37.29,6.48,42
41672.71463,204300.6931,0.55,53975.53,173.3878953,90.05407585,263.9424609,151.0877328,385.1549097,238.050949,2.14,0.2,7.83,0.74,37.29,6.48,43
41672.97563,204300.0954,0.55,53975.74,174.3318163,90.92255455,262.2409716,155.0378849,379.68655,241.9123846,2.13,0.17,7.9,0.77,37.28,7,44
41673.24592,204299.4919,0.55,53975.94,175.4650062,93.23866316,264.5101162,158.5948181,374.5646117,246.285621,2.13,0.15,7.87,0.79,37.43,6.99,45
41673.52098,204298.892,0.55,53976.16,177.9220596,94.39680767,265.2673728,161.5602292,375.4142832,251.3424245,2.12,0.16,7.89,0.89,37.5,7.17,46
41673.52098,204298.892,0.55,53976.16,177.9220596,94.39680767,265.2673728,161.5602292,375.4142832,251.3424245,2.12,0.16,7.89,0.89,37.5,7.17,47
41673.78986,204298.3172,0.55,53976.36,177.7329678,94.1072659,265.2673728,161.1647728,383.1326661,256.2416649,2.13,0.19,7.95,0.9,37.77,7.49,48
