x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,p_ID
41668.31481,204315.4004,0.7204512,53970.75,89.73999651318661,48.45836719674149,119.84409387129026,80.71231914362588,136.1600736088633,116.53875062032785,1.96,0.12,6.41,0.41,26.9,0.68,11.0
41668.31481,204315.4004,0.7204512,53970.75,89.73999651318661,48.45836719674149,119.84409387129026,80.71231914362588,136.1600736088633,116.53875062032785,1.96,0.12,6.41,0.41,26.9,0.68,12.0
41668.44947,204314.7587,0.692525,53970.95,94.90109603977902,52.55167732030522,125.9329388318315,87.90377359582828,137.64911765387643,127.47376383455864,1.99,0.19,6.38,0.45,27.16,1.34,13.0
41668.57399,204314.1439,0.6645152,53971.14,98.93320504492934,61.55695959214542,130.49957255223742,92.753824272895,140.52084545497314,139.7209786344971,1.97,0.25,6.33,0.34,27.62,2.49,14.0
41668.70589,204313.4887,0.6504672,53971.34,103.61045149090373,68.10625578984738,137.41871455285246,101.28322373946068,144.03073498964693,151.0933923772971,1.94,0.25,6.35,0.38,28.03,2.57,15.0
41668.70589,204313.4887,0.6504672,53971.34,103.61045149090373,68.10625578984738,137.41871455285246,101.28322373946068,144.03073498964693,151.0933923772971,1.94,0.25,6.35,0.38,28.03,2.57,16.0
41668.84943,204312.794,0.65,53971.55,112.96494438285248,70.97157287634198,145.99845063361508,112.32127010795736,148.8169479914748,161.44520488676895,1.98,0.2,6.55,0.57,28.55,2.63,17.0
41668.98012,204312.1909,0.65,53971.75,120.70659367274109,70.56224186398562,156.51554647454992,118.50926579938735,154.98584474938625,171.50541704386123,1.99,0.19,6.8,0.69,29.27,3.74,18.0
41669.12606,204311.5522,0.65,53971.94,126.51283064015755,69.33424882691651,165.37204823533716,119.34548143336437,162.32470468552233,181.41982902476383,2.0,0.18,6.92,0.65,29.88,4.19,19.0
41669.12606,204311.5522,0.65,53971.94,126.51283064015755,69.33424882691651,165.37204823533716,119.34548143336437,162.32470468552233,181.41982902476383,2.0,0.18,6.92,0.65,29.88,4.19,20.0
