,coilconfig,slope,intercept
0,HCPHQP,1.9074161881260039,-26.407553945903018
1,PRPHQP,1.4717442719344225,-2.5840129459169283
2,HCP1QP,1.6570836159766333,-43.98922135840439
3,PRP1QP,1.4256356783799449,-8.66936678799238
4,HCP2QP,1.5008668404733636,-47.29557749566359
5,PRP2QP,1.4845626199893938,-25.640698733469662
