x,y,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,p_ID
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,88.33910735326916,47.79190376556497,118.1092887061003,79.39176112815036,134.908754637852,114.75030688312341,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),11.0
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,88.33910735326916,47.79190376556497,118.1092887061003,79.39176112815036,134.908754637852,114.75030688312341,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),12.0
41668.44947304861,204314.75870067533,27261,0.6925250000017289,53970.95000000001,93.55810925206939,51.947907341896794,124.26180707105166,86.66935186372734,136.41372077481333,125.7915723631414,1.99,0.19,6.38,0.45,27.16,1.34,POINT (487462.6120899423 5665267.497924988),13.0
41668.57399014526,204314.14389404096,27262,0.6645151999989809,53971.140000000014,97.6354544855071,61.091115209826825,128.8761958447652,91.57749445283739,139.3161554675244,138.15778970076155,1.97,0.25,6.33,0.34,27.62,2.49,POINT (487462.74784503103 5665266.885758976),14.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,102.36517495629485,67.74072093195777,135.86769398675534,100.20905555782406,142.86357564750463,149.64070579998022,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),15.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,102.36517495629485,67.74072093195777,135.86769398675534,100.20905555782406,142.86357564750463,149.64070579998022,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),16.0
41668.84943478776,204312.7940374585,27264,0.6500000000000001,53971.54999999999,111.82461589787033,70.64992343539005,144.53715168282315,111.37931110545384,147.70096680202312,160.09310378773063,1.98,0.2,6.55,0.57,28.55,2.63,POINT (487463.0479624031 5665265.541737935),17.0
41668.9801242432,204312.1908877995,27265,0.6500000000000001,53971.75,119.65311874607073,70.23432307775687,155.16422885864822,117.64142406397357,153.93582651229136,170.25106802934715,1.99,0.19,6.8,0.69,29.27,3.74,POINT (487463.1896719144 5665264.941335794),18.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,125.52449588222103,68.98752200485733,164.11334648039562,118.48765554485462,161.35315961588637,180.26181539789678,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),19.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,125.52449588222103,68.98752200485733,164.11334648039562,118.48765554485462,161.35315961588637,180.26181539789678,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),20.0
41669.28864491194,204310.8777954718,27267,0.6500000000000001,53972.15,129.9280287343338,68.77972182604073,171.1048446223858,120.51861109896913,169.20048304432746,187.32822530510833,2.01,0.13,6.95,0.62,30.56,4.05,POINT (487463.52217022295 5665263.634666469),21.0
41669.46967016879,204310.1615306707,27268,0.6439250000004455,53972.35999999999,134.16846777710902,71.48112415065641,176.13872328461872,123.05730554161227,175.8653330794418,188.65317716271045,2.02,0.16,7.0,0.74,31.35,4.46,POINT (487463.71626753575 5665262.922139511),22.0
