x,y,Unnamed: 0,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,geometry,p_ID
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,119.60147513819017,56.06040597393518,158.49021214038552,88.02434922963204,236.47708643604378,143.49940599443048,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),11.0
41668.31481280508,204315.40035266613,27260,0.7204512000019314,53970.75,119.60147513819017,56.06040597393518,158.49021214038552,88.02434922963204,236.47708643604378,143.49940599443048,1.96,0.12,6.41,0.41,26.9,0.68,POINT (487462.4657036842 5665268.136734487),12.0
41668.44947304861,204314.75870067533,27261,0.6925250000017289,53970.95000000001,123.37997634881275,58.874239659870184,164.33836323422798,93.17945960783818,239.56349609123313,152.25090506348778,1.99,0.19,6.38,0.45,27.16,1.34,POINT (487462.6120899423 5665267.497924988),13.0
41668.57399014526,204314.14389404096,27262,0.6645151999989809,53971.140000000014,126.3367469385228,65.06593709403428,168.74518832285014,96.6582188365932,245.57580096958847,162.09479512644276,1.97,0.25,6.33,0.34,27.62,2.49,POINT (487462.74784503103 5665266.885758976),14.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,129.77184432705593,69.57007951128425,175.4559132270199,102.78005490940699,253.03362229653453,171.2757214587485,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),15.0
41668.70588955493,204313.48873738945,27263,0.6504672000001881,53971.34,129.77184432705593,69.57007951128425,175.4559132270199,102.78005490940699,253.03362229653453,171.2757214587485,1.94,0.25,6.35,0.38,28.03,2.57,POINT (487462.8917204372 5665266.233401725),16.0
41668.84943478776,204312.7940374585,27264,0.6500000000000001,53971.54999999999,136.65873665221133,71.54093007135364,183.83344704439634,110.71003390311894,263.40403700158527,179.66654922665342,1.98,0.2,6.55,0.57,28.55,2.63,POINT (487463.0479624031 5665265.541737935),17.0
41668.9801242432,204312.1908877995,27265,0.6500000000000001,53971.75,142.3748426510528,71.25936925439149,194.18731389773546,115.15937957364419,277.1254779954595,187.8520813496048,1.99,0.19,6.8,0.69,29.27,3.74,POINT (487463.1896719144 5665264.941335794),18.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,146.67165904968817,70.4147082760564,202.97843584637724,115.76084919196511,294.00002655614327,195.9491053696481,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),19.0
41669.12606302995,204311.55216538347,27266,0.6500000000000001,53971.94,146.67165904968817,70.4147082760564,202.97843584637724,115.76084919196511,294.00002655614327,195.9491053696481,2.0,0.18,6.92,0.65,29.88,4.19,POINT (487463.3472764061 5665264.305661659),20.0
41669.28864491194,204310.8777954718,27267,0.6500000000000001,53972.15,149.89969233993034,70.27393457799334,209.89224556832283,117.2045770462318,312.5486842562522,201.682744003662,2.01,0.13,6.95,0.62,30.56,4.05,POINT (487463.52217022295 5665263.634666469),21.0
