,coilconfig,slope,intercept
0,HCPHQP,2.1722301904923507,-32.49850453783493
1,PRPHQP,1.893521171439591,-5.434014629528949
2,HCP1QP,1.7557401426398076,-47.057238984928844
3,PRP1QP,1.662620137141184,-12.554121800846218
4,HCP2QP,1.4888151891230796,-43.52929097613787
5,PRP2QP,1.6020120950664822,-28.887794187672128
