x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph
107769.7897,183238.1075,28.55,32700.12,142.3187633,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1076,28.55,32700.32,142.0031163,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1076,28.55,32700.52,142.6344103,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1077,28.55,32700.72,142.4765868,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.11,28.55,32700.92,142.0031163,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.113,28.55,32701.11,142.1609398,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7897,183238.1184,28.55,32702.13,142.0031163,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7896,183238.1184,28.55,32702.33,142.1609398,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7893,183238.1184,28.55,32702.61,142.3187633,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.590081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7891,183238.1184,28.55,32702.73,142.4765868,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
107769.7862,183238.1184,28.55,32702.93,142.4765868,80.26972441,140.2955881,125.72738,80.39823134,146.7737952,1.600081341,0.264503606,3.311992023,0.373607459,4.544878884,-4.266518389
