x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP,p_ID
41668.31481,204315.4004,0.7204512,53970.75,89.56737009089292,48.6513479348353,118.72307967360877,80.29637383010858,134.61540386227156,115.36401252712156,1.96,0.12,6.41,0.41,26.9,0.68,11.0
41668.31481,204315.4004,0.7204512,53970.75,89.56737009089292,48.6513479348353,118.72307967360877,80.29637383010858,134.61540386227156,115.36401252712156,1.96,0.12,6.41,0.41,26.9,0.68,12.0
41668.44947,204314.7587,0.692525,53970.95,94.46029181782768,52.467199734361245,124.59089443338655,87.07168650121689,136.09149581777086,125.92108027379467,1.99,0.19,6.38,0.45,27.16,1.34,13.0
41668.57399,204314.1439,0.6645152,53971.14,98.28288691699547,60.86207369331831,128.9917555032199,91.6410834189411,138.9382445890909,137.74499615006854,1.97,0.25,6.33,0.34,27.62,2.49,14.0
41668.70589,204313.4887,0.6504672,53971.34,102.71709723203011,66.9674365725598,135.6597268211492,99.67691937769749,142.41760419848214,148.72434660660855,1.94,0.25,6.35,0.38,28.03,2.57,15.0
41668.70589,204313.4887,0.6504672,53971.34,102.71709723203011,66.9674365725598,135.6597268211492,99.67691937769749,142.41760419848214,148.72434660660855,1.94,0.25,6.35,0.38,28.03,2.57,16.0
41668.84943,204312.794,0.65,53971.55,111.58551786209938,69.63853283222797,143.92801125538153,110.07623650079398,147.16218548401557,158.7183707401258,1.98,0.2,6.55,0.57,28.55,2.63,17.0
41668.98012,204312.1909,0.65,53971.75,118.92490045250156,69.25694765227537,154.06332765863405,115.90615670616626,153.27742358536977,168.43087306706502,1.99,0.19,6.8,0.69,29.27,3.74,18.0
41669.12606,204311.5522,0.65,53971.94,124.42943739530318,68.11219211241759,162.59833094558357,116.69398376094631,160.55244822318775,178.0026144907153,2.0,0.18,6.92,0.65,29.88,4.19,19.0
41669.12606,204311.5522,0.65,53971.94,124.42943739530318,68.11219211241759,162.59833094558357,116.69398376094631,160.55244822318775,178.0026144907153,2.0,0.18,6.92,0.65,29.88,4.19,20.0
