x,y,z,t,HCPHQP,PRPHQP,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCPHIP,PRPHIP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,p_ID
107763.8972,183306.3371,27.5189976,42159.27,34.72267161907147,22.11580587637589,46.58739408852717,30.01243664106392,64.70178693883649,46.48621119331163,0.98,1.01,1.01,0.34,1.41,-2.85,11.0
107764.0323,183306.1285,27.5318496,42159.17,35.61650099883543,23.44131526776779,48.875747865964115,31.318845081109174,66.69402834550611,48.091389943423884,0.98,1.01,1.01,0.32,1.42,-2.99,12.0
107764.3457,183305.6431,27.5563384,42158.97,38.897152374432494,26.0924334996342,54.9273420954881,34.71587338038244,71.60661762224994,51.50358751274611,0.98,1.01,1.01,0.32,1.43,-3.1,13.0
107764.6566,183305.1606,27.5810024,42158.77,43.378783224464954,26.97616901857734,57.85820851339611,38.37480268482644,76.18348049758453,56.92629209562373,0.97,1.01,1.01,0.34,1.42,-3.02,14.0
107764.9495,183304.7066,27.6074264,42158.57,49.36797467441223,30.51125813018673,64.57949928606621,44.12578531134876,79.67975068570458,63.96180501192729,0.97,1.01,1.03,0.37,1.44,-2.82,15.0
107765.2262,183304.2798,27.6308104,42158.37,56.27382149363512,38.90803579602953,69.00661170316089,51.70893070505907,81.34120651271226,67.18032449745523,0.97,1.01,1.03,0.36,1.45,-2.8,16.0
107765.5199,183303.8306,27.6463544,42158.17,61.390074894232114,44.21194451154681,74.71693807585697,56.678616718778976,86.16002578974953,71.80945654205081,0.98,1.01,1.02,0.32,1.47,-2.93,17.0
107765.665,183303.6102,27.6481,42158.07,63.80110326193214,45.095980435709926,78.11032950131141,58.50983630960923,89.1394074358699,75.23289112696682,0.98,1.01,1.01,0.31,1.46,-3.02,18.0
107765.9775,183303.1391,27.65,42157.86,69.53569511289652,46.42206169138059,86.41048516783641,64.00440716612489,94.56633856261519,84.90778213966867,0.98,1.01,1.02,0.3,1.49,-3.2,19.0
107766.2798,183302.6873,27.65,42157.67,73.46599503155312,51.72671485571579,91.96600022009,71.33262705713013,97.57516523935688,95.60543044011447,0.98,1.01,1.02,0.33,1.48,-3.05,20.0
107766.5826,183302.2372,27.65,42157.47,76.79572928902988,56.1476597079725,94.53590368031665,75.52127030273618,97.57516523935688,98.43384372759334,0.97,1.02,1.02,0.36,1.46,-2.92,21.0
107766.9205,183301.737,27.65,42157.26,79.82595305014053,58.80040116384475,97.75337465042082,79.1869820504046,99.64973412326913,101.26335136466334,0.97,1.01,1.02,0.33,1.45,-2.89,22.0
107767.0703,183301.5159,27.65,42157.16,81.0388818102574,59.684677381578915,99.04193281606655,79.1869820504046,100.97244891558111,102.67851551990687,0.97,1.01,1.02,0.33,1.44,-2.96,23.0
107767.4281,183300.9884,27.6553312,42156.94,83.16264774585196,61.45327339161421,101.40659942069507,82.59139907730648,101.53992842114569,104.0939532089605,0.98,1.01,1.02,0.33,1.44,-3.07,24.0
107767.7068,183300.5785,27.6768192,42156.74,84.07327422732213,63.22192747476854,101.62171669955528,82.85329891009668,104.00316829962587,102.47633246392921,0.98,1.01,1.02,0.32,1.47,-3.03,25.0
107768.029,183300.1056,27.7059872,42156.54,84.68050460322672,62.779758511513556,102.48243053476905,81.80571809040714,107.61540219002208,102.88070415799092,0.98,1.01,1.03,0.32,1.48,-3.11,26.0
107768.3297,183299.665,27.7320666,42156.34,84.68050460322672,61.01111894365954,104.20502990593775,80.49631149036725,110.09517745708573,103.08289837726961,0.98,1.01,1.04,0.3,1.52,-3.14,27.0
107768.5048,183299.4087,27.7423126,42156.24,84.07327422732213,61.01111894365954,104.42046430107746,80.23443942881923,111.4332046221227,102.67851551990687,0.98,1.01,1.03,0.3,1.53,-3.18,28.0
107768.9068,183298.8208,27.75,42155.97,80.12914052567452,57.916139476296486,100.76139500180254,77.35405050599879,113.5397149452203,101.46550092490475,0.98,1.01,1.03,0.32,1.52,-3.15,29.0
