x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,geometry,p_ID
41668.19202,204315.9951,0.7431392,53970.55,89.25409489,45.22185968,124.723597,75.09919751,151.4207043,120.3318545,1.918600166,0.119486132,6.288811183,0.234712419,26.79172505,0.600180674,POINT (487462.3320411383 5665268.728916366),11
41668.34728,204315.3724,0.7204512,53970.75,95.52081173,48.692963,131.8670921,84.27821214,151.7856695,130.0119019,1.938600166,0.149486132,6.338811183,0.424712419,26.90172505,0.940180674,POINT (487462.4986687489 5665268.109413626),12
41668.50904,204314.7196,0.692525,53970.95,100.4119078,52.77661396,137.4798383,91.20273195,153.0630476,140.0952846,1.968600166,0.219486132,6.308811183,0.464712419,27.16172505,1.600180674,POINT (487462.67234026536 5665267.459990165),13
41668.63502,204314.1905,0.6645152,53971.14,104.2330766,61.76064608,141.6893979,95.87275694,155.5265625,151.3886732,1.948600166,0.279486132,6.258811183,0.354712419,27.62172505,2.750180674,POINT (487462.8079814366 5665266.933473508),14
41668.7771,204313.5419,0.6504672,53971.34,108.6656324,68.29448762,148.0675186,104.0855595,158.5375252,161.8753911,1.918600166,0.279486132,6.278811183,0.394712419,28.03172505,2.830180674,POINT (487462.9619113865 5665266.287892182),15
41668.7771,204313.5419,0.6504672,53971.34,108.6656324,68.29448762,148.0675186,104.0855595,158.5375252,161.8753911,1.918600166,0.279486132,6.278811183,0.394712419,28.03172505,2.830180674,POINT (487462.9619113865 5665266.287892182),16
41668.90555,204312.8593,0.65,53971.55,117.5307441,71.15304329,155.9763882,114.7138922,162.6433834,171.4209934,1.958600166,0.229486132,6.478811183,0.584712419,28.55172505,2.890180674,POINT (487463.10284917086 5665265.60795165),17
41669.01665,204312.178,0.65,53971.75,124.8673882,70.74467819,165.6711316,120.6722,167.9353784,180.6977055,1.968600166,0.219486132,6.728811183,0.704712419,29.27172505,4.000180674,POINT (487463.2264165337 5665264.929161546),18
41669.11324,204311.5631,0.65,53971.94,130.3698712,69.5195829,173.835126,121.4773767,174.2310276,189.8399724,1.978600166,0.209486132,6.848811183,0.664712419,29.88172505,4.450180674,POINT (487463.33425574977 5665264.316359364),19
41669.11324,204311.5631,0.65,53971.94,130.3698712,69.5195829,173.835126,121.4773767,174.2310276,189.8399724,1.978600166,0.209486132,6.848811183,0.664712419,29.88172505,4.450180674,POINT (487463.33425574977 5665264.316359364),20
41669.24071,204310.8202,0.65,53972.15,134.4967336,69.31540036,180.2132467,123.4098008,180.8916421,196.2933373,1.988600166,0.159486132,6.878811183,0.634712419,30.56172505,4.310180674,POINT (487463.47532383655 5665263.576265357),21
41669.38348,204310.1329,0.643925,53972.36,138.4707491,71.96977348,184.8054935,125.825331,186.5486022,197.5033432,1.998600166,0.189486132,6.928811183,0.754712419,31.35172505,4.720180674,POINT (487463.6306497238 5665262.891928243),22
41669.38348,204310.1329,0.643925,53972.36,138.4707491,71.96977348,184.8054935,125.825331,186.5486022,197.5033432,1.998600166,0.189486132,6.928811183,0.754712419,31.35172505,4.720180674,POINT (487463.6306497238 5665262.891928243),23
41669.54537,204309.4781,0.621825,53972.55,141.2219907,73.80741641,187.2291794,125.5032603,190.198254,196.6966726,2.008600166,0.249486132,7.138811183,0.794712419,32.09172505,5.240180674,POINT (487463.8044980085 5665262.240465416),24
41669.7279,204308.8215,0.592525,53972.76,142.7504582,72.78650367,189.0150532,124.5370483,191.5668734,196.8311177,2.038600166,0.219486132,7.338811183,0.714712419,32.53172505,5.700180674,POINT (487463.9989999404 5665261.587651653),25
41669.91453,204308.1921,0.565625,53972.96,144.1260789,71.76559093,190.5458021,125.5032603,191.749356,197.3688981,2.078600166,0.189486132,7.258811183,0.734712419,32.93172505,5.810180674,POINT (487464.1970984624 5665260.961974698),26
41669.91453,204308.1921,0.565625,53972.96,144.1260789,71.76559093,190.5458021,125.5032603,191.749356,197.3688981,2.078600166,0.189486132,7.258811183,0.734712419,32.93172505,5.810180674,POINT (487464.1970984624 5665260.961974698),27
41670.06884,204307.6838,0.550725,53973.13,144.5846192,70.54049564,190.5458021,127.4356845,191.4756321,197.9066785,2.088600166,0.219486132,7.258811183,0.754712419,33.31172505,5.530180674,POINT (487464.3606673573 5665260.456866093),28
