    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
    1    4         2    3       -1.21314           21.68978       21.35734         0.97741E+02    0.78544E+02    1
    7    8         2   13       -1.65104           14.98239       14.36285         0.47970E+02    0.39096E+02    1
    5   19        11   13        1.38799            7.34241        7.58425         0.42831E+02    0.42831E+02    0
    1   23        11   13       -1.29376            4.73888        4.54709         0.31316E+02    0.31316E+02    0
    3   21        11   13        0.35622            6.18184        6.24234         0.36574E+02    0.36574E+02    0
    9   16        12   13       -1.64609           17.81937       17.31433         0.61717E+02    0.57252E+02    1
   11   14        12   13       -2.26999           25.82032       24.98003         0.10176E+03    0.68611E+02    1
    7   18        12   13        1.20900           11.30537       11.61360         0.44946E+02    0.44946E+02    0
   23   28         2   49       -0.48378            1.64855        1.56762         0.96108E+01    0.96108E+01    0
   35   38        24   49       -1.63061            2.22317        2.03382         0.27254E+02    0.18318E+02    1
   17   75        43   49       -0.30275            1.49606        1.43155         0.68684E+01    0.68684E+01    0
   15   77        43   49       -0.13568            1.47601        1.44258         0.59222E+01    0.59222E+01    0
   13   79        43   49       -0.09021            1.48162        1.45634         0.52402E+01    0.52402E+01    0
   23   70        44   49       -0.55725            1.48580        1.39322         0.86620E+01    0.86620E+01    0
   21   72        44   49       -0.46795            1.45965        1.36798         0.72146E+01    0.72146E+01    0
   19   74        44   49       -0.38023            1.46298        1.37608         0.62091E+01    0.62091E+01    0
   47   48        46   49       -3.35651           21.68496       20.49278         0.97736E+02    0.59359E+02    1
   35   60        46   49       -0.97766            1.68462        1.59328         0.20892E+02    0.17537E+02    1
   31   64        46   49       -0.77426            1.56002        1.45432         0.11035E+02    0.11035E+02    0
   33   62        46   49       -0.85647            1.56845        1.47789         0.14402E+02    0.14402E+02    0
   45   52        48   49       -1.03836            6.26438        6.12585         0.48464E+02    0.46436E+02    1
   47   50        48   49        0.67232           14.58446       14.69484         0.89170E+02    0.89170E+02    0
   43   54        48   49       -0.72057            3.04160        2.97626         0.33178E+02    0.33178E+02    0
   27   67        45   49       -0.14889            1.40002        1.37705         0.90028E+01    0.90028E+01    0
   25   69        45   49        0.60918            1.22397        1.34436         0.64934E+01    0.64934E+01    0
   37   59        47   49       -1.04677            1.96135        1.84143         0.20811E+02    0.16592E+02    1
