x,y,z,t,HCP1QP,PRP1QP,HCP2QP,PRP2QP,HCP4QP,PRP4QP,HCP1IP,PRP1IP,HCP2IP,PRP2IP,HCP4IP,PRP4IP
487128.7111628599,5665491.2080120435,0.8499999999999999,44537.16,131.8,59.2,152.8,89.7,166.6,144.9,1.85,0.14,5.7,0.17,27.33,2.09
487128.71111988963,5665491.208012151,0.8499999999999999,44537.33,131.8,59.2,152.8,89.7,166.7,144.9,1.85,0.14,5.7,0.17,27.3,2.09
487128.71106740413,5665491.208012282,0.8499999999999999,44537.53,131.8,59.2,152.8,89.7,166.8,144.9,1.85,0.14,5.7,0.17,27.19,2.09
487128.71101278975,5665491.208012419,0.8499999999999999,44537.729999999996,131.8,59.2,152.8,89.7,166.7,144.9,1.85,0.14,5.7,0.17,27.21,2.09
487128.7068488035,5665491.208022836,0.8499999999999999,44538.009999999995,131.8,59.2,152.8,89.7,166.6,144.9,1.85,0.14,5.7,0.17,27.21,2.09
487128.70351206744,5665491.208031181,0.8499999999999999,44538.17,131.8,59.2,152.8,89.7,166.7,144.9,1.85,0.14,5.7,0.17,27.2,2.09
487128.6998500047,5665491.208040342,0.8499999999999999,44538.380000000005,131.8,59.2,152.8,89.7,166.6,144.9,1.85,0.14,5.7,0.17,27.21,2.09
487128.6980547358,5665491.2080448335,0.8499999999999999,44538.57000000001,131.8,59.2,152.8,89.7,166.5,144.9,1.85,0.14,5.7,0.17,27.28,2.09
487128.69914759387,5665491.208042098,0.8499999999999999,44538.78,131.8,59.2,152.8,89.7,166.7,144.9,1.85,0.14,5.7,0.17,27.31,2.09
487128.7119560515,5665491.208010059,0.8499999999999999,44545.009999999995,131.8,59.2,152.8,89.7,166.7,144.9,1.85,0.14,5.7,0.17,27.3,2.09
487128.71195813507,5665491.208010053,0.8499999999999999,44545.17,131.8,59.2,152.8,89.7,166.9,144.9,1.85,0.14,5.7,0.17,27.22,2.09
