,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,107719.9979,183326.6793,18.286889697262446,72.22866831151373,90.39599308858483,55.476997796186396,167.17137378611505,216.89463050821507,133.87601810961672,95.47755984328776,1
1,107755.6395,183331.2104,26.71759821150264,41.953424141016725,100.15491669668879,100.40551335248932,94.57776079586232,154.41624271338222,105.75232017042401,105.40035569139394,2
2,107797.4476,183278.6469,50.44355284727132,84.84089077989519,115.81147863128272,180.04590905263342,227.5289181641918,181.40820399136626,206.6963988016002,235.9425760195455,3
3,107764.0831,183318.0822,14.854596001485858,28.802408522699924,71.00390607153477,94.16866953513865,81.25510119291756,171.95702399401227,126.04417705196657,143.8830529138082,4
4,107723.0048,183309.1898,26.93719702824114,67.1363877367791,107.99554189942913,126.36502904272989,112.27431149028926,90.32990922138605,107.60556831207437,113.81536065479213,5
5,107742.871,183330.0981,43.185695037736664,30.992275980547483,92.90165225196915,117.01872234464928,150.73375380185635,126.1911058734952,107.5107030726165,128.61538163729924,6
6,107806.7161,183274.99,40.86172830788939,75.96435858541115,114.4413598499234,119.06858000452428,166.86279689741676,194.344158664188,196.05964042046193,241.8055120369338,7
7,107758.6659,183312.5732,50.390115058757935,65.42159837564785,40.57763318482968,65.68640330094503,96.46792097196402,99.52486338582929,107.632603654693,99.01084957879957,8
8,107775.383,183309.8767,21.01042687999599,54.12745443399846,102.76459609784098,176.17407381066388,87.90754288216688,126.53729700406242,127.45768320727593,125.2792658701286,9
9,107726.3815,183318.7508,53.202594972473634,91.38437645419334,69.16587411359744,80.90293933585997,125.4742620606718,111.84367710562134,167.2620853933322,96.34141996594802,10
10,107766.4694,183327.2822,39.9478067370586,58.58237403375783,70.53252937365411,65.3001482685326,146.32188226000562,106.29514101270136,158.0441612145218,167.51765440297496,11
11,107777.0025,183299.3846,35.09312031965937,46.76836787074592,78.95636317326489,112.08010161758214,129.23796067660845,130.675884056229,128.9985830810328,129.0416355338689,12
12,107752.314,183298.7686,46.50685472627779,74.45932032683909,89.12055472005288,143.6013775739819,140.24856623906766,88.09848186722876,114.95131122948962,95.1554198544768,13
13,107732.7209,183327.4299,25.928417858771585,83.66457914617678,84.2447921121007,62.3299917135698,75.00718816176705,110.20642983621362,162.74776625927163,137.92998426693939,14
14,107776.5235,183291.4178,42.69774879483926,62.47632027886785,103.71230895023072,105.77160693335932,131.37816399933197,141.4271252546184,154.12407486774924,187.11590486678455,15
