Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,44.36180907859271,152.42481721959433,231.9822799937272,201.81417857373444,271.60094203328896,2001
1,41549.1776,204310.533875,72.23895403092371,156.81392862246292,178.18307619231012,200.0856318040557,265.241916948252,2002
2,41589.569225,204168.115775,45.197244942356186,191.5573651865627,210.90227903101544,240.7865758847516,407.1096322634117,2003
3,41668.75582,204238.61746666665,32.59875743093393,134.94521005752583,291.67338422445664,284.2663436146802,346.5367545513181,2004
4,41521.489305,204334.882175,42.1519705830761,302.2958566214969,369.4047336505151,305.5899443767533,252.4691111804694,2005
5,41617.044348,204259.03512,59.48645688185992,93.17163467107366,147.8482741598428,364.9730487886656,233.96971053534844,2006
6,41576.955798,204271.22694,37.38216530971384,102.18081554286177,188.90304497621648,222.3362736286878,222.74082355391903,2007
7,41532.757848,204357.01175,33.63627295336322,178.40550790032046,408.60931209570606,234.8537480298555,183.4620831611648,2008
8,41642.451125,204298.9764,62.021765303282656,70.58575425999777,221.44142999497683,289.71657791880136,227.22468885855943,2009
9,41701.9493775,204262.2071625,38.66855960880804,218.0522767959236,368.39071109650536,407.7601228659949,314.1918229235191,2010
10,41513.514865000005,204286.3595,71.8798948163514,225.91447063412048,274.51741134610336,256.30733860232306,315.53476208393045,2011
11,41619.62907333334,204273.00583333336,61.46449658965382,202.2658125979549,82.59327184715336,106.16825100302592,292.717665310321,2012
12,41684.651975,204247.00405,57.54888450030564,160.57148351187365,468.6263764956822,368.5914976847801,434.4625863708084,2013
13,41591.159478,204181.23082,73.29380430852054,109.15111636942424,236.4520266224108,291.29826162121293,361.4895238791694,2014
14,41562.70514875,204364.9238625,50.695352791924144,294.79548147845526,265.6852668933734,428.9962478056223,198.6812401526172,2015
