,x,y,EC_0.15,EC_0.37,EC_0.46,EC_0.61,EC_0.81,EC_1.10,EC_1.53,EC_2.15,EC_end,pos
0,41668.31481,204315.4004,33.56424152684022,42.772794841524686,105.44764304050801,168.22204797236714,149.10960802072566,110.3764009830965,136.52150862076886,155.22206689182326,261.05277532950294,11
1,41668.31481,204315.4004,9.209237973267733,96.47792042233394,102.74003947900788,199.72907764295678,122.53901976622475,152.45950946758975,270.8579511248315,200.1073130305415,158.59885526133266,12
2,41668.44947,204314.7587,67.19320735403406,132.7831880733604,212.7854114087456,100.73380717176798,86.31019688225645,119.91154056245685,162.49196588980385,261.20050627902054,169.0804711713368,13
3,41668.57399,204314.1439,31.277843959449378,73.1911122324913,117.97999465501404,183.9875947415287,158.82836855694114,134.73222413983066,150.79640346866898,237.6678189576827,208.36216757830783,14
4,41668.70589,204313.4887,44.77964323490229,141.48173769298006,137.4895304358169,86.75058755077734,85.6486549456761,124.30022868744283,171.26256287030108,239.8761053064482,313.7796818308149,15
5,41668.70589,204313.4887,50.68248015383615,104.87484864259096,79.31959003076724,176.75711766996363,220.87806064430623,181.85206609276923,189.63386076340063,202.83719046833164,184.13661608567108,16
6,41668.84943,204312.794,36.346504175201694,110.80407732012978,159.51745348478184,174.21076265130176,220.12812189508531,125.38856256781001,140.09920200189373,247.73082129129804,256.34571982403327,17
7,41668.98012,204312.1909,64.29026717936702,142.47996495103132,127.36818616039886,102.84794864330425,162.9408182130719,196.07933908235225,206.6917382586118,244.7647846899428,315.3277511928087,18
8,41669.12606,204311.5522,36.54203616695328,67.02659786440579,108.15219044337722,103.01108187078799,147.50822945148107,222.40657431328566,305.58084136083164,308.4416593839684,309.6354603526166,19
9,41669.12606,204311.5522,69.49754937299066,83.99230387110602,171.3166407111213,168.19693101145012,192.5145097330103,156.05073880617596,197.6520311751205,291.63602324497583,318.0501196129852,20
10,41669.28864,204310.8778,64.41262937522515,114.63721119183865,156.55548524637345,234.3604524638884,210.5458372743875,213.58151219270653,252.460623353169,275.11630242357705,298.56173148215373,21
11,41669.46967,204310.1615,46.652701095581236,72.24764924277918,167.31281988670952,185.46357619215678,244.89692330152675,252.60730492767004,247.52465298653226,274.4827412817438,253.83930836188003,22
12,41669.46967,204310.1615,22.731270806449427,95.53837496492078,105.32306326153034,222.53422128193108,268.39681832209595,282.19913441068564,224.0546284560692,245.4936691735,263.0857939792839,23
13,41669.65117,204309.472,43.78541753938002,95.81246885409863,94.37204031163839,170.30063837993418,206.66692371951086,246.3782199014969,278.25308722964616,344.9161582189265,279.1239353119825,24
14,41669.81435,204308.8737,28.100254031411012,87.51970664076123,116.06722151642812,233.627418798507,229.55575737834153,244.58800938208668,232.69853782303917,271.1063385658118,314.79103720064984,25
15,41670.00186,204308.2093,28.129246231287116,128.9261587779469,198.6553982173339,223.2442844035885,220.8959998293714,202.12471425511507,246.45185414561314,281.5743687168993,309.65654189235414,26
