,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,41565.59265666668,204206.96052222225,31.875706750886803,211.55519393164124,238.2656513682708,270.06254599602175,305.192849123507,2001
1,41549.1776,204310.533875,61.13175196953316,191.17908129250947,227.8158692537798,221.90693577329014,259.8886911571132,2002
2,41589.569225,204168.115775,71.1895612933597,270.57326918718246,193.2931857860998,315.79072321438446,391.70557419004876,2003
3,41668.75582,204238.61746666665,61.06951809279677,202.45825436798742,346.34601556178046,316.4618586076771,339.7607010844884,2004
4,41521.489305,204334.882175,72.90610530507931,152.95698307677094,285.0676451461765,295.1827992577474,363.8311916871611,2005
5,41617.044348,204259.03512,36.93421082395192,182.56836006971383,266.3623255538298,289.33132471747376,309.57707319029197,2006
6,41576.955798,204271.22694,37.56264810550167,232.349453650682,238.70604102369427,195.98593964467605,330.5121065072482,2007
7,41532.757848,204357.01175,68.61363698630632,152.00529562678685,302.7798836076525,232.36751434286418,346.6820509216044,2008
8,41642.451125,204298.9764,35.112445047131025,213.565847273055,261.10776573658075,269.2306760535565,278.23923687996574,2009
9,41701.9493775,204262.2071625,68.98535337661198,232.51751093204928,260.4730178893168,326.23138775899696,431.7090035269616,2010
10,41513.514865000005,204286.3595,62.90354996608231,167.40298316250616,253.11002631527964,280.22367793247815,314.6437812131295,2011
11,41619.62907333334,204273.00583333336,38.70757069263805,137.60407454412916,293.25976087586184,200.17859543696025,235.4752792773418,2012
12,41684.651975,204247.00405,67.49326740550732,200.16045778693496,287.4509119281837,384.5930586064415,498.469297785813,2013
13,41591.159478,204181.23082,82.55026783251964,198.86989873119842,205.9356978657919,345.1671886120579,402.6888900640022,2014
14,41562.70514875,204364.9238625,64.94551559108304,184.86166709051213,290.7979380213815,302.36349163909966,261.1258085341229,2015
