,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41565.59265666668,204206.96052222225,69.54424901849555,67.4025064314638,63.693696200802535,87.06563614214973,62.59868457491805,92.03730445353692,77.87565999817527,94.85174191877525,2001,-173.29983258110718
1,1,41549.1776,204310.533875,61.68370137260786,62.988671472159226,87.44293837507713,68.99193744017633,87.7687255220996,37.86590075784704,51.74073683403901,93.67451722353442,2002,-173.29983258110718
2,2,41589.569225,204168.115775,90.5834430354097,81.68897158545685,85.93813267865589,4.245546697551582,99.13004832296096,77.40689252324655,62.62459427634162,94.41316027231213,2003,-173.29983258110718
3,3,41668.75582,204238.61746666665,48.1139052969026,83.76370894545077,84.46182590166092,84.59592175769461,28.065566505900133,63.0685522844371,73.93227963502898,96.6073039199921,2004,-173.29983258110718
4,4,41521.489305,204334.882175,61.938609084164106,56.38486469632059,76.83889769111056,70.83185806960637,90.05974195743504,48.48595915802958,90.49988729209204,95.44373536197548,2005,-173.29983258110718
5,5,41617.044348,204259.03512,93.44801935805106,60.61253667855114,53.35725185912173,98.57747622316968,38.99353974993759,60.57145446234155,87.54529741595191,98.47805726014582,2006,-173.29983258110718
6,6,41576.955798,204271.22694,65.51465224539612,67.16955467011209,85.83274580480528,88.467963691154,87.86239744404831,67.60025109094877,88.93553656847686,96.85835194705332,2007,-173.29983258110718
7,7,41532.757848,204357.01175,82.4450597078098,64.83782308817915,54.19948009727022,91.3402135892156,91.58767702560196,54.91685887982492,86.98628964008311,88.23376262147016,2008,-173.29983258110718
8,8,41642.451125,204298.9764,58.4628115464098,89.50137444604547,45.94253521494287,44.29462548182523,63.25696975681953,94.49318068976967,76.061958156211,97.12527039733396,2009,-173.29983258110718
9,9,41701.9493775,204262.2071625,45.79830143927524,84.27322258104996,69.51717352315114,44.7487428576658,92.20885156628322,57.2325919920516,66.72603303848815,98.69107665009346,2010,-173.29983258110718
10,10,41513.514865000005,204286.3595,85.29090988889986,92.57120892881542,49.43430399432506,61.099597594385216,92.1460945028725,73.81747002018271,88.92078494051498,99.8532091240939,2011,-173.29983258110718
11,11,41619.62907333334,204273.00583333336,46.96236615724359,48.763856009595976,66.09801998049767,88.34002892501168,56.425208762517045,81.39974294427066,92.40939766445857,97.49313155579524,2012,-173.29983258110718
12,12,41684.651975,204247.00405,71.99106763693794,62.76288563055809,35.86902005159435,53.214966838751344,88.9809842312604,82.33651416042485,73.65898535790515,95.60595738790184,2013,-173.29983258110718
13,13,41591.159478,204181.23082,67.79394941429774,63.424116018256825,84.532501661728,80.98008446875176,71.37074892287175,77.08831693816848,82.48961843331176,94.95878552096092,2014,-173.29983258110718
14,14,41562.70514875,204364.9238625,84.27996191141715,77.9689467810327,53.32508679588253,91.6152781410088,69.10444585733009,76.21329516518068,76.09998121457187,88.30313247636214,2015,-173.29983258110718
