,x,y,EC_0.10,EC_0.20,EC_0.30,EC_0.40,EC_0.50,EC_0.60,EC_0.70,EC_0.80,EC_0.90,EC_1.00,EC_1.20,EC_1.50,EC_2.00,EC_end,pos
0,41668.31481,204315.4004,87.69648256354282,79.13090648385244,68.51892675150059,60.01722712534054,55.918572063144985,57.25573548536327,64.2786919826071,76.77980082097508,94.30228067710878,116.27016034609717,142.0676971288141,173.73441148557492,210.41226875865237,248.7770918036997,11
1,41668.31481,204315.4004,87.69648256354282,79.13090648385244,68.51892675150059,60.01722712534054,55.918572063144985,57.25573548536327,64.2786919826071,76.77980082097508,94.30228067710878,116.27016034609717,142.0676971288141,173.73441148557492,210.41226875865237,248.7770918036997,12
2,41668.44947,204314.7587,94.03845505610107,86.05737284740002,76.74520963983136,70.03089707611919,67.86276484327942,70.95026280110126,79.29455817632315,92.52153756366768,110.07936951961672,131.35250532402793,155.72585332242338,184.61201569601292,216.90028661519784,249.3778828709563,13
3,41668.57399,204314.1439,117.68117446992402,106.34848287523693,92.55414479142758,81.54115468302845,75.89141843854954,76.52092309338985,83.40200109857967,96.01955030505924,113.64071997724831,135.46793542299739,160.7221287394234,190.75476092100936,223.98924394459,256.56234506673496,14
4,41668.70589,204313.4887,132.26656671338557,119.64381072935002,104.50942124844109,92.60250839498856,86.57538652285906,87.22695539270445,94.3586928827843,107.29276517165367,125.16452103350596,147.07983750771115,172.19503695493273,201.5394706425804,233.2548297044845,263.3116890353648,15
5,41668.70589,204313.4887,132.26656671338557,119.64381072935002,104.50942124844109,92.60250839498856,86.57538652285906,87.22695539270445,94.3586928827843,107.29276517165367,125.16452103350596,147.07983750771115,172.19503695493273,201.5394706425804,233.2548297044845,263.3116890353648,16
6,41668.84943,204312.794,133.51809557967533,123.22066695488584,111.67479597119946,103.70455975898315,101.31286250388403,104.90603569150723,114.09077736638352,128.12844273278128,146.17611890541946,167.4076273100977,191.06964978025735,217.71540237736272,245.52528990015168,270.88184286080326,17
7,41668.98012,204312.1909,122.38100934074204,115.18673858532365,108.45548697765486,105.92270269162968,108.84198320911972,117.15688347506584,130.22248501373613,147.19206813159528,167.20660741719115,189.4794173820162,213.32780132768838,238.71251129930147,263.74474254418743,285.11964950306873,18
8,41669.12606,204311.5522,109.89468939704676,104.5223867305054,100.66284947152121,101.55063371483979,108.12488485540953,120.12791370017189,136.78145808330748,157.14874198638128,180.3107592765852,205.44318240248614,231.84278924972205,259.14963952923296,285.24069481926637,306.6260457093933,19
9,41669.12606,204311.5522,109.89468939704676,104.5223867305054,100.66284947152121,101.55063371483979,108.12488485540953,120.12791370017189,136.78145808330748,157.14874198638128,180.3107592765852,205.44318240248614,231.84278924972205,259.14963952923296,285.24069481926637,306.6260457093933,20
10,41669.28864,204310.8778,103.78268135910724,98.78482875813664,95.61321028672619,97.51474960142147,105.45893819571621,119.20644924350007,137.97649054069126,160.81083886379872,186.7558035350343,214.9449597794338,244.63023481497464,275.55015190608833,305.4712323744425,330.58416237747383,21
11,41669.46967,204310.1615,109.55555166856429,103.29154084709378,98.06580832039562,97.67904881987481,103.5794269656987,115.87646405159698,134.00992451223212,157.13736071887502,184.3433497500632,214.74610305754408,247.54724465514707,283.16194845417374,319.50238971358755,352.42242125905403,22
12,41669.46967,204310.1615,109.55555166856429,103.29154084709378,98.06580832039562,97.67904881987481,103.5794269656987,115.87646405159698,134.00992451223212,157.13736071887502,184.3433497500632,214.74610305754408,247.54724465514707,283.16194845417374,319.50238971358755,352.42242125905403,23
13,41669.65117,204309.472,114.1267464290446,106.72564309368275,99.50951510121641,96.77190710337668,100.44172264582551,110.99886238099111,128.12553235977506,151.1117055878696,179.0916093727019,211.17575629508036,246.52095168013815,286.1921466227165,328.2427189018915,368.2143982238628,24
14,41669.81435,204308.8737,108.97243568389598,102.37178309480194,96.20487192794289,94.50845953229903,99.12523645173896,110.52863398472972,128.4239691311869,152.13060851870418,180.8092417069946,213.59115375915786,249.64811670104558,290.0849485926721,332.9997630546784,373.9542262855335,25
15,41670.00186,204308.2093,103.90349871432342,98.66424810368623,94.48277363466764,94.87538814005913,101.36299986415035,114.24617999145164,133.15728302217187,157.40471794938128,186.1739347074658,218.63953673205032,254.02444961123155,293.23320892653976,334.4186413896209,373.3808222310498,26
16,41670.00186,204308.2093,103.90349871432342,98.66424810368623,94.48277363466764,94.87538814005913,101.36299986415035,114.24617999145164,133.15728302217187,157.40471794938128,186.1739347074658,218.63953673205032,254.02444961123155,293.23320892653976,334.4186413896209,373.3808222310498,27
17,41670.15453,204307.6858,99.99833310873741,95.89377595211957,93.42913871003329,95.6571366265989,103.77966502380869,117.91314345221377,137.60675139737782,162.15204768982238,190.75686720763105,222.6387893167382,257.0724570775434,294.7527832389212,333.88189059220105,370.49280938312353,28
18,41670.3466,204307.0499,96.86095072908488,93.76434606005793,92.94570637041159,97.08036266723269,107.05614051615034,122.76372512873557,143.61092861361354,168.81621062276153,197.56428808480356,229.083498544783,262.68048831655886,298.71379518735404,335.3526792476526,368.85856272130815,29
19,41670.52277,204306.4886,93.34248023033452,90.72857204069639,90.81226819497465,96.12397634792421,107.3931279390301,124.37301808992123,146.366105927657,172.51708820890704,201.9638035160091,233.90899955947947,267.6498465980425,303.2778813478902,338.8122728145585,370.47437872255244,30
20,41670.73131,204305.8502,95.1043543720657,91.464143138697,90.19972039943485,94.29383647762575,104.73037518174586,121.38113253372997,143.5804940448668,170.45329051918642,201.08895353323672,234.62834365652947,270.30271123425956,308.3548718150327,346.66850161431495,381.09861067920525,31
21,41670.73131,204305.8502,95.1043543720657,91.464143138697,90.19972039943485,94.29383647762575,104.73037518174586,121.38113253372997,143.5804940448668,170.45329051918642,201.08895353323672,234.62834365652947,270.30271123425956,308.3548718150327,346.66850161431495,381.09861067920525,32
22,41670.91631,204305.3064,96.72655114579348,91.37639844771537,87.68253881924002,89.3951080566127,98.01190505139786,113.70315265855072,135.94264514169558,163.88711043572496,196.59010157194967,233.11706648382713,272.60341929154333,315.80485488331493,360.5517818769422,402.1670686915194,33
23,41671.12674,204304.7098,88.19581159923216,82.29767310804596,77.77603298765132,78.77932267630106,87.15766599936393,103.32159892432685,126.87269943505945,157.00732292611056,192.75824214172587,233.13281177512337,277.1879163547323,326.1362116779217,377.76924682301996,426.92893181684724,34
