Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,93.9684455186933,86.26351834974925,42.36463517551179,29.615816002295624,47.04113319260431,1
1,107755.86151818182,183331.1214,25.126390569906988,17.36706252517966,31.5560067129907,50.670972213983,14.653128653334967,2
2,107797.93544545454,183278.9048727273,89.50538570498082,67.68296478475573,42.85859921310289,85.46273492263636,84.13193234475216,3
3,107764.40281538464,183318.4132153846,11.753604857314231,8.837991236011385,20.049163821249927,16.745017112321644,31.361297719960444,4
4,107723.42537142856,183309.4027142857,99.64611017368549,71.83878980197613,63.15270587752542,78.19018975249661,42.59717853657066,5
5,107742.897625,183330.1258375,56.67654736695018,27.614341000769937,38.78024613345954,59.06840493219462,16.537808006270424,6
6,107806.755275,183274.783715,92.46075303925352,87.45414210451322,76.0773707664833,96.94500586994032,81.94659786006555,7
7,107758.59206,183312.54344,27.611835549914552,17.700514401818836,17.000903688854752,35.64907904146993,40.400361948767184,8
8,107776.02779,183310.31861,70.87405477336193,66.14581784382766,57.49213623437757,91.55167837223036,88.16600948364105,9
9,107726.3215,183318.8376333333,95.1935233182517,93.92367771502764,78.29961568347896,82.01594631699713,46.92452076933051,10
10,107766.74172,183327.35406,23.913575389648237,6.288351183303863,23.983492555698103,33.22072142305434,55.76827811673776,11
11,107777.31210000002,183299.6196181818,64.64328652896,76.30935999660078,65.77382041110327,85.12050385180041,95.55561196294413,12
12,107751.80372307693,183298.45846153845,94.92981522228868,77.87107597724487,78.69310001951054,75.10162352752037,71.1058674306859,13
13,107732.68432857144,183327.4764857143,86.90754628775467,38.7831236501558,82.32768608805954,79.72397813775409,74.03323495073323,14
14,107776.3765111111,183291.22352222225,81.92225326279728,65.63898915318819,49.23494504913951,90.32187864880368,96.9461459482217,15
