,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos
0,41565.59265666668,204206.96052222225,71.44647626556274,107.87765401196997,168.80450189913248,132.46270243775422,164.249842764651,314.12386530769817,421.2164988235754,451.591002297269,2001
1,41549.1776,204310.533875,33.14023579257456,68.7882294151889,180.70403574827287,261.6219566209805,308.42465986020244,192.38618795028802,366.741097760219,506.8548181173642,2002
2,41589.569225,204168.115775,27.76721283899189,63.60474552587332,145.76881053657596,191.13347457684273,327.623437523177,411.78831024401796,546.8405228380266,680.2982183934863,2003
3,41668.75582,204238.61746666665,49.52593219127188,30.706767164394762,194.6011742387815,250.72813871054015,295.40856054716164,369.1974770854955,563.2652376802081,628.4471895136095,2004
4,41521.489305,204334.882175,72.27868224759222,64.09857469773857,214.95074928828933,232.43807651933022,297.7425366013785,428.9850040387018,514.4506106540948,624.8857783921734,2005
5,41617.044348,204259.03512,41.999713664173214,83.80425813394528,164.9297424408004,231.08489927515137,211.28172678147135,370.55331082581415,449.17362005875987,398.8528461503472,2006
6,41576.955798,204271.22694,68.55426605191138,21.86017686310879,216.06610811042867,133.48504831877585,201.92046722103075,107.47831218018308,258.8245476716363,478.3189179893868,2007
7,41532.757848,204357.01175,53.560947009713495,67.39325201525044,132.47297591808424,264.72044986439573,286.0802506111285,284.720773463305,284.02399139538966,362.416013353231,2008
8,41642.451125,204298.9764,46.59184035982808,45.20230616094057,198.30344747355062,260.06940018160606,212.4648535539572,233.64285595668838,327.94581555847066,365.78950847253196,2009
9,41701.9493775,204262.2071625,53.37863996084224,34.1047493398737,125.3075738036117,285.1507558017144,307.16078892589593,312.04050958913933,589.0308801927589,830.8890273853439,2010
10,41513.514865000005,204286.3595,75.3896088672134,112.98643351167452,165.50829985618591,328.5700852884358,241.2740084268584,333.767752693431,433.75034905243695,487.59835243831566,2011
11,41619.62907333334,204273.00583333336,19.828359165127125,74.9144754624069,120.1628927041374,312.61503551276235,163.52756157875774,133.50871249837485,327.56396907183694,519.1286200025116,2012
12,41684.651975,204247.00405,70.70811758844859,63.82249201342132,113.54758600845099,226.42781515346476,350.55430665110146,613.1341736242287,775.2563305385419,798.2182861028191,2013
13,41591.159478,204181.23082,55.3703262950079,31.489175859146798,297.6790185795599,254.8713850397884,296.7517753403192,452.13568880288943,443.43848769291884,554.4530129079628,2014
14,41562.70514875,204364.9238625,45.04875355322395,70.35233249314415,155.35150721570676,303.47289355093784,389.3790112602532,394.89151255996325,443.8075088213154,472.57579581316514,2015
