,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,107719.9979,183326.6793,81.61495343324489,86.82940981144013,77.61393672202517,37.08734749675389,61.391307288635154,77.24361585829614,55.67907928932589,26.994453822325823,1,0.02639100136708117
1,107755.6395,183331.2104,19.485545494555044,16.607185249182443,40.28360451587345,22.66735211854184,33.95888880990886,38.124241343181424,35.2679064331047,24.835000423480906,2,0.02639100136708117
2,107797.4476,183278.6469,85.88526073972758,99.26225387568104,71.33524068906678,46.148114273333476,64.57308315908882,94.03172845665574,49.11826267192034,97.03470159616502,3,0.02639100136708117
3,107764.0831,183318.0822,30.65527888781172,43.446506612610456,34.54944155361579,26.80601968612348,24.352214980747718,24.633887560536802,45.45225378649778,10.548115337543742,4,0.02639100136708117
4,107723.0048,183309.1898,93.65282542704094,93.47690925447924,74.91707283255778,72.7107807818324,77.15461078208202,82.46531243454108,96.8066331600382,18.757324643939807,5,0.02639100136708117
5,107742.871,183330.0981,73.96363976869554,18.65126520085455,45.3107220514097,34.53674122303159,46.537300427699634,53.09515032140986,36.16049922715978,24.21157086995453,6,0.02639100136708117
6,107806.7161,183274.99,79.66067070597204,83.13463986692706,62.063333692844374,80.18678336095495,73.07939727439707,80.47638014354054,72.78137055991472,89.75164320613197,7,0.02639100136708117
7,107758.6659,183312.5732,45.252638692265904,11.391047931133281,8.289141311037051,57.13185191630332,34.976108280738856,28.479549833736122,32.5314759038075,20.16175363474259,8,0.02639100136708117
8,107775.383,183309.8767,88.89423998233111,54.50788858703479,79.07592586201666,44.24821901185932,92.73794848750987,81.52081389557168,94.09624094723969,75.4433634054194,9,0.02639100136708117
9,107726.3815,183318.7508,85.218367060403,94.08674463937793,74.60536982188813,72.12694510991757,53.42797092329566,63.54137220151519,79.55278538405027,46.08057396658331,10,0.02639100136708117
10,107766.4694,183327.2822,31.943923110134524,16.56538855849415,16.36421391732278,21.801305412311084,28.66722575558367,45.76496556420555,32.88406053328213,17.945261807860597,11,0.02639100136708117
11,107777.0025,183299.3846,41.63903527110788,72.22232636294684,44.72831764158713,88.4626139173611,72.02924317849444,88.55039620773651,69.47027228921797,92.12451252062608,12,0.02639100136708117
12,107752.314,183298.7686,83.84275858370565,68.36640696610196,29.485633696453345,46.76086283795126,88.06690991897405,91.29866668959647,78.92223013692796,47.93811091917455,13,0.02639100136708117
13,107732.7209,183327.4299,91.54250129870938,67.84660593527971,59.12024398957305,70.23514883058313,73.85009464977176,45.11179679067498,45.06342568378189,81.48543704442768,14,0.02639100136708117
14,107776.5235,183291.4178,90.55274776013403,83.19170717852067,89.50342826782484,78.2246231532845,65.32493558770224,78.21146434211244,79.2414586055293,84.35944656988111,15,0.02639100136708117
