,Unnamed: 0,x,y,EC_0.15,EC_0.38,EC_0.51,EC_0.70,EC_0.99,EC_1.45,EC_2.15,EC_end,pos,r2inv
0,0,41565.59265666668,204206.96052222225,82.7197775506967,69.6179681627378,90.12836907999454,91.7735517076949,79.86500849467475,88.41449787551134,57.02246969727726,94.35840818223328,2001,-179.39317000600195
1,1,41549.1776,204310.533875,48.3938190629944,96.73265374167664,92.69923280746625,38.85093278779742,69.25495984992783,83.5392771595721,74.67885286033348,95.67501329625784,2002,-179.39317000600195
2,2,41589.569225,204168.115775,78.63863213417437,91.9092528178722,32.2835607795632,67.62693082028105,52.24464940007128,61.89007326624683,51.39734125241748,97.16315973229617,2003,-179.39317000600195
3,3,41668.75582,204238.61746666665,40.66984402464139,54.24578398213746,46.67520990613136,67.69180692375183,85.45749018112018,81.11688712437008,63.63726849718714,98.44772085726277,2004,-179.39317000600195
4,4,41521.489305,204334.882175,72.0249403828328,94.34496619049132,10.043354699193191,71.87064193009384,86.29577681203013,85.14802789483224,83.04419513936993,91.81517875567074,2005,-179.39317000600195
5,5,41617.044348,204259.03512,66.15948805236683,65.30087198931625,85.69871664401875,68.188083510217,79.17770364366807,72.26373234345058,73.75381081704867,96.23138025533892,2006,-179.39317000600195
6,6,41576.955798,204271.22694,84.10611198741749,53.0737561958219,50.83105724184856,36.46359158929072,66.57153694573512,85.23874786209338,94.54949874587962,88.46230092589545,2007,-179.39317000600195
7,7,41532.757848,204357.01175,54.89045811503043,93.45653256263596,75.91974565357926,82.70611347917873,62.65784578375876,88.81561049426178,66.44281620681642,99.47362859316937,2008,-179.39317000600195
8,8,41642.451125,204298.9764,82.2698308662358,80.42669584145202,67.73725625971358,82.55509138218159,66.31424777087237,76.46235939770789,57.17865956404761,90.41978527661826,2009,-179.39317000600195
9,9,41701.9493775,204262.2071625,94.48818444290964,54.14551035198743,80.40846181841827,76.9530876961307,75.58457076894855,41.53933367466174,94.39100061680963,86.75262090447302,2010,-179.39317000600195
10,10,41513.514865000005,204286.3595,49.34141047378282,61.931129181661646,80.99414332606575,82.50079371161603,77.94516330739668,55.37441489379939,85.84773195121375,97.83056776299588,2011,-179.39317000600195
11,11,41619.62907333334,204273.00583333336,91.93546864308088,83.59115629543632,61.58676531758421,39.48020713124956,71.90130702367772,49.72225709391793,76.18343400711501,95.53672099044944,2012,-179.39317000600195
12,12,41684.651975,204247.00405,49.833104803421485,86.14974734033285,45.1624432488915,88.73757480458856,76.61435614917461,58.55212545391228,57.76654080470919,95.38074496564523,2013,-179.39317000600195
13,13,41591.159478,204181.23082,76.51630627083524,67.16180619391486,17.00105430814545,60.85078408139918,65.08359503891987,57.70325467503685,71.3082102118348,91.5681443931558,2014,-179.39317000600195
14,14,41562.70514875,204364.9238625,84.00268397203851,87.49577377949326,71.40872846022225,83.56902290544704,75.13791356514454,86.58767357354392,38.9310101664902,96.9591480601435,2015,-179.39317000600195
