,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos,r2inv
0,41564.53508,204206.635,53.07405227959736,75.91285601595128,93.37801184295775,75.49339394354959,86.5942231841606,2001,-157.03538195264392
1,41548.70351,204311.6093,67.15433526461587,99.46050167910681,99.46033644225508,96.28477683003655,96.28107877032915,2002,-157.03538195264392
2,41589.68646,204167.8156,75.73639317899436,72.1435114215844,79.57381326377372,95.74112670951389,92.33111463576726,2003,-157.03538195264392
3,41668.92012,204238.2888,61.98286934634892,76.64909086988006,88.35925486776442,92.97382962017225,98.09112077671838,2004,-157.03538195264392
4,41521.64592,204334.5815,59.59653873262286,77.43194265833948,82.55831397989327,86.55626404842637,93.35908313647816,2005,-157.03538195264392
5,41617.05436,204259.0171,93.84405787642315,71.51657073492906,80.43358223434252,75.26024737124715,91.5325511002279,2006,-157.03538195264392
6,41576.95294,204271.2311,72.10375103475181,95.67006551039205,15.333538283411416,95.57309307086517,95.76617293264087,2007,-157.03538195264392
7,41533.54743,204357.0333,89.1500343209553,69.6080926555209,84.810962452182,84.14453094689267,93.81270031343468,2008,-157.03538195264392
8,41642.94946,204299.055,65.2847121216464,77.35598066640735,78.11964832436244,86.45825939183189,92.42157130999226,2009,-157.03538195264392
9,41701.0223,204261.7069,94.89632295859727,75.19444773570658,47.215235666047725,99.82205113877701,95.09431633883608,2010,-157.03538195264392
10,41513.61527,204286.1329,69.55331409392768,98.80078302582112,69.50926512468924,95.50627608426925,91.23974118413012,2011,-157.03538195264392
11,41619.48192,204273.3088,68.63168234337671,19.875697432324394,89.86472228996392,97.90006101196403,89.77403209802581,2012,-157.03538195264392
12,41684.4859,204247.3604,83.20451207583439,15.804592562274706,72.4008573261544,88.71349755590035,92.88717199318667,2013,-157.03538195264392
13,41591.14582,204181.2118,90.43861866004362,75.79892075283658,73.74309095874595,66.44660936844207,95.37806540028282,2014,-157.03538195264392
14,41563.2081,204364.9004,62.937580034903185,95.62464662229269,52.734024846289664,98.1715742911697,97.97474734517644,2015,-157.03538195264392
