Unnamed: 0,x,y,EC_0.30,EC_0.60,EC_1.00,EC_2.00,EC_end,pos
0,107719.9937888889,183326.6925333333,86.12009660404281,77.54589131035308,58.05247457954643,38.93301738587274,33.2902836930785,1
1,107755.86151818182,183331.1214,19.91529476521185,23.597135212592452,29.500684821283294,40.663896674300766,35.031428713903566,2
2,107797.93544545454,183278.9048727273,77.61685041483324,75.61134074260931,91.49373837213209,93.24870419754303,93.07695229713492,3
3,107764.40281538464,183318.4132153846,15.03842034927736,19.734319739680927,31.66878722992148,17.484450509286265,35.364476329870705,4
4,107723.42537142856,183309.4027142857,94.53497324523352,83.1934791441684,65.89251037832197,57.02884048864938,60.15136322584654,5
5,107742.897625,183330.1258375,43.49437606304438,38.70583028898948,35.5068328209928,31.688586640049877,35.64529173994749,6
6,107806.755275,183274.783715,72.2226974799814,94.95792925005618,73.81420561188385,88.2405258946293,85.71653119551414,7
7,107758.59206,183312.54344,26.11835508817249,25.56365593044786,33.99150522519189,36.25028939211317,21.48156678927825,8
8,107776.02779,183310.31861,62.31732457924094,71.71204726456808,75.07325788105346,82.03025981267938,87.69378068415479,9
9,107726.3215,183318.8376333333,82.27226480241892,89.06374397586187,80.65293267743446,60.46956703683361,44.98960580877948,10
10,107766.74172,183327.35406,18.019376924280056,14.326325791613868,20.05030462943616,31.15484102288004,38.863622857249936,11
11,107777.31210000002,183299.6196181818,71.01427335868594,69.28779857123553,62.88645508975933,88.29000198179892,84.7513940816979,12
12,107751.80372307693,183298.45846153845,89.47244324941332,88.06486993587257,89.56843567852357,72.20283381027325,44.75373887077856,13
13,107732.68432857144,183327.4764857143,73.49348474786719,70.41547271822141,69.34816298585147,67.4026418031703,65.73163082496531,14
14,107776.3765111111,183291.22352222225,81.5428161728621,81.15948221158777,82.83761567267216,79.82561491468608,76.17107682627851,15
